2025-06-27 00:51:31,799 INFO    Thread-174:2027 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-06-27 00:51:31,800 INFO    Thread-174:2027 [wandb_setup.py:_flush():67] Configure stats pid to 2027
2025-06-27 00:51:31,800 INFO    Thread-174:2027 [wandb_setup.py:_flush():67] Loading settings from /home/jlai/.config/wandb/settings
2025-06-27 00:51:31,800 INFO    Thread-174:2027 [wandb_setup.py:_flush():67] Loading settings from /home/jlai/ML/jet_faking/wandb/settings
2025-06-27 00:51:31,800 INFO    Thread-174:2027 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-06-27 00:51:31,800 INFO    Thread-174:2027 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/jlai/ML/jet_faking/wandb/run-20250627_005131-6o9asvcq/logs/debug.log
2025-06-27 00:51:31,800 INFO    Thread-174:2027 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/jlai/ML/jet_faking/wandb/run-20250627_005131-6o9asvcq/logs/debug-internal.log
2025-06-27 00:51:31,800 INFO    Thread-174:2027 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f8a42f72160>
2025-06-27 00:51:31,800 INFO    Thread-174:2027 [wandb_init.py:init():761] calling init triggers
2025-06-27 00:51:31,800 INFO    Thread-174:2027 [wandb_init.py:init():766] wandb.init called with sweep_config: {'gamma': 0.8237535852431596, 'learning_rate': 0.022736177101466384, 'max_depth': 8, 'n_estimators': 110, 'subsample': 0.7123666978485603}
config: {'_wandb': {}}
2025-06-27 00:51:31,800 INFO    Thread-174:2027 [wandb_init.py:init():784] starting backend
2025-06-27 00:51:31,800 INFO    Thread-174:2027 [wandb_init.py:init():788] sending inform_init request
2025-06-27 00:51:31,813 INFO    Thread-174:2027 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-27 00:51:31,813 INFO    Thread-174:2027 [wandb_init.py:init():803] backend started and connected
2025-06-27 00:51:31,818 INFO    Thread-174:2027 [wandb_run.py:_config_callback():1261] config_cb None None {'gamma': 0.8237535852431596, 'learning_rate': 0.022736177101466384, 'max_depth': 8, 'n_estimators': 110, 'subsample': 0.7123666978485603}
2025-06-27 00:51:31,823 INFO    Thread-174:2027 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-06-27 00:51:31,823 INFO    Thread-174:2027 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-06-27 00:51:31,823 INFO    Thread-174:2027 [wandb_init.py:init():896] updated telemetry
2025-06-27 00:51:31,831 INFO    Thread-174:2027 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-06-27 00:51:32,015 INFO    Thread-174:2027 [wandb_init.py:init():995] starting run threads in backend
2025-06-27 00:51:32,138 INFO    Thread-174:2027 [wandb_run.py:_console_start():2377] atexit reg
2025-06-27 00:51:32,138 INFO    Thread-174:2027 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-06-27 00:51:32,138 INFO    Thread-174:2027 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-06-27 00:51:32,139 INFO    Thread-174:2027 [wandb_run.py:_redirect():2317] Redirects installed.
2025-06-27 00:51:32,139 INFO    Thread-174:2027 [wandb_init.py:init():1037] run started, returning control to user process
2025-06-27 00:51:38,647 INFO    Thread-174:2027 [wandb_run.py:_finish():2112] finishing run dlai211/Dark_ph_BDT_Sweep/6o9asvcq
2025-06-27 00:51:38,648 INFO    Thread-174:2027 [jupyter.py:save_history():458] not saving jupyter history
2025-06-27 00:51:38,648 INFO    Thread-174:2027 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-06-27 00:51:38,648 INFO    Thread-174:2027 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-06-27 00:51:38,649 INFO    Thread-174:2027 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-06-27 00:51:38,649 INFO    Thread-174:2027 [wandb_run.py:_restore():2324] restore
2025-06-27 00:51:38,649 INFO    Thread-174:2027 [wandb_run.py:_restore():2330] restore done
2025-06-27 00:51:39,966 INFO    MsgRouterThr:2027 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-06-27 00:51:39,967 INFO    Thread-174:2027 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-06-27 00:51:39,967 INFO    Thread-174:2027 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-06-27 00:51:39,969 INFO    Thread-174:2027 [wandb_run.py:_footer_sync_info():3919] logging synced files
