2025-06-30 06:02:38,617 INFO    Thread-36 :140 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-06-30 06:02:38,618 INFO    Thread-36 :140 [wandb_setup.py:_flush():67] Configure stats pid to 140
2025-06-30 06:02:38,618 INFO    Thread-36 :140 [wandb_setup.py:_flush():67] Loading settings from /home/jlai/.config/wandb/settings
2025-06-30 06:02:38,618 INFO    Thread-36 :140 [wandb_setup.py:_flush():67] Loading settings from /home/jlai/ML/jet_faking/wandb/settings
2025-06-30 06:02:38,618 INFO    Thread-36 :140 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-06-30 06:02:38,618 INFO    Thread-36 :140 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/jlai/ML/jet_faking/wandb/run-20250630_060238-6tfsgkem/logs/debug.log
2025-06-30 06:02:38,618 INFO    Thread-36 :140 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/jlai/ML/jet_faking/wandb/run-20250630_060238-6tfsgkem/logs/debug-internal.log
2025-06-30 06:02:38,618 INFO    Thread-36 :140 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f5269321fd0>
2025-06-30 06:02:38,618 INFO    Thread-36 :140 [wandb_init.py:init():761] calling init triggers
2025-06-30 06:02:38,618 INFO    Thread-36 :140 [wandb_init.py:init():766] wandb.init called with sweep_config: {'gamma': 0.6623667473178169, 'learning_rate': 0.059217225209607, 'max_depth': 7, 'n_estimators': 750, 'subsample': 0.5775255500186753}
config: {'_wandb': {}}
2025-06-30 06:02:38,618 INFO    Thread-36 :140 [wandb_init.py:init():784] starting backend
2025-06-30 06:02:38,618 INFO    Thread-36 :140 [wandb_init.py:init():788] sending inform_init request
2025-06-30 06:02:38,619 INFO    Thread-36 :140 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-30 06:02:38,619 INFO    Thread-36 :140 [wandb_init.py:init():803] backend started and connected
2025-06-30 06:02:38,623 INFO    Thread-36 :140 [wandb_run.py:_config_callback():1261] config_cb None None {'gamma': 0.6623667473178169, 'learning_rate': 0.059217225209607, 'max_depth': 7, 'n_estimators': 750, 'subsample': 0.5775255500186753}
2025-06-30 06:02:38,628 INFO    Thread-36 :140 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-06-30 06:02:38,628 INFO    Thread-36 :140 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-06-30 06:02:38,628 INFO    Thread-36 :140 [wandb_init.py:init():896] updated telemetry
2025-06-30 06:02:38,629 INFO    Thread-36 :140 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-06-30 06:02:38,824 INFO    Thread-36 :140 [wandb_init.py:init():995] starting run threads in backend
2025-06-30 06:02:38,935 INFO    Thread-36 :140 [wandb_run.py:_console_start():2377] atexit reg
2025-06-30 06:02:38,935 INFO    Thread-36 :140 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-06-30 06:02:38,935 INFO    Thread-36 :140 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-06-30 06:02:38,935 INFO    Thread-36 :140 [wandb_run.py:_redirect():2317] Redirects installed.
2025-06-30 06:02:38,935 INFO    Thread-36 :140 [wandb_init.py:init():1037] run started, returning control to user process
2025-06-30 06:02:43,907 INFO    Thread-36 :140 [wandb_run.py:_finish():2112] finishing run dlai211/Dark_ph_BDT_Sweep_Reduced/6tfsgkem
2025-06-30 06:02:43,908 INFO    Thread-36 :140 [jupyter.py:save_history():458] not saving jupyter history
2025-06-30 06:02:43,908 INFO    Thread-36 :140 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-06-30 06:02:43,908 INFO    Thread-36 :140 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-06-30 06:02:43,908 INFO    Thread-36 :140 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-06-30 06:02:43,908 INFO    Thread-36 :140 [wandb_run.py:_restore():2324] restore
2025-06-30 06:02:43,908 INFO    Thread-36 :140 [wandb_run.py:_restore():2330] restore done
2025-06-30 06:02:45,277 INFO    MsgRouterThr:140 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-06-30 06:02:45,277 INFO    Thread-36 :140 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-06-30 06:02:45,278 INFO    Thread-36 :140 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-06-30 06:02:45,279 INFO    Thread-36 :140 [wandb_run.py:_footer_sync_info():3919] logging synced files
