sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,2.643630
ggHyyd,1,n_ph==1,195671,19979.1210938,2.662606
ggHyyd,2,pv_z exists,195671,19979.1210938,2.680423
ggHyyd,3,goodPV,86910,8732.75585938,2.718338
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,2.746109
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,2.773896
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,2.801588
ggHyyd,7,trigger==1,25430,2584.30541992,2.821887
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,2.844805
ggHyyd,9,MET>100GeV,5628,568.633117676,2.867659
ggHyyd,10,n_jet_central<=3,4858,491.889312744,2.883984
ggHyyd,11,mT>80GeV,4730,479.373291016,2.906848
ggHyyd,12,VertexBDTScore>0.1,3886,394.524505615,2.924718
ggHyyd,13,met_tst_sig>7,3138,319.534698486,2.940269
ggHyyd,14,ph_eta<1.75,2755,280.689361572,2.956422
ggHyyd,15,dphi_met_phterm>1.35,2411,245.393447876,2.972734
ggHyyd,16,dmet>-20GeV,2390,243.592987061,2.988139
ggHyyd,17,dphi_jj_central<2.5,2294,233.81237793,3.008884
ggHyyd,18,dphi_met_jetterm<0.75,2265,231.234130859,3.027413
