sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,2.030938
ggHyyd,1,n_ph==1,195671,19979.1210938,2.053434
ggHyyd,2,pv_z exists,195671,19979.1210938,2.074693
ggHyyd,3,goodPV,86910,8732.75585938,2.118572
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,2.150234
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,2.181982
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,2.213156
ggHyyd,7,trigger==1,25430,2584.30541992,2.235754
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,2.261426
ggHyyd,9,MET>100GeV,5628,568.633117676,2.279536
ggHyyd,10,n_jet_central<=3,4858,491.889312744,2.297211
ggHyyd,11,140>mT>100GeV,2866,290.678192139,2.323236
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,2.339970
ggHyyd,13,met_tst_sig>7,2269,229.917266846,2.357141
ggHyyd,14,ph_eta<1.75,1989,201.620956421,2.375478
ggHyyd,15,dphi_met_phterm>1.20,1912,194.341964722,2.393555
ggHyyd,16,dmet>-20GeV,1898,193.013442993,2.411709
ggHyyd,17,dphi_jj_central<2.35,1797,183.299560547,2.432799
ggHyyd,18,dphi_met_jetterm<0.85,1797,183.299560547,2.452799
ggHyyd,19,balance>0.90,1681,171.44593811,2.480631
ggHyyd,20,jetterm>80GeV,1681,171.44593811,2.497963
ggHyyd,21,3.1>dphi_phterm_jetterm>1.6,1678,171.173477173,2.521419
ggHyyd,22,metsigres<42000,1678,171.173477173,2.538894
ggHyyd,23,met_noJVT>90GeV,1678,171.173477173,2.555324
Zjets,0,loaded,11544081,1739103.625,66.859495
Zjets,1,n_ph==1,4463818,828876.3125,67.155267
Zjets,2,truth e->gamma,3242488,674497.875,67.827052
Zjets,3,n_mu_baseline==0,3229462,673846.625,68.332532
Zjets,4,n_el_baseline==0,770339,199435.75,68.506572
Zjets,5,n_tau_baseline==0,729391,196128.671875,68.624059
Zjets,6,trigger==1,95006,6059.20361328,68.667442
Zjets,7,ph_pt>50GeV,94607,6016.86669922,68.781755
Zjets,8,MET>100GeV,14813,775.327148438,68.796693
Zjets,9,n_jet_central<=3,7940,681.040649414,68.808852
Zjets,10,140>mT>100GeV,532,34.8040351868,68.933103
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,68.942881
Zjets,12,met_tst_sig>7,74,3.8582701683,68.952294
Zjets,13,ph_eta<1.75,42,2.95947122574,69.013880
Zjets,14,dphi_met_phterm>1.20,41,2.90816855431,69.025318
Zjets,15,dmet>-20GeV,39,2.00230240822,69.035687
Zjets,16,dphi_jj_central<2.35,28,1.45462393761,69.049139
Zjets,17,dphi_met_jetterm<0.85,28,1.45462393761,69.061893
Zjets,18,balance>0.90,17,1.30083703995,69.132788
Zjets,19,jetterm>80GeV,17,1.30083703995,69.141739
Zjets,20,3.1>dphi_phterm_jetterm>1.6,17,1.30083703995,69.157851
Zjets,21,metsigres<42000,17,1.30083703995,69.167941
Zjets,22,met_noJVT>90GeV,17,1.30083703995,69.177217
Zgamma,0,loaded,4341141,310120.1875,20.774938
Zgamma,1,n_ph==1,3423357,249515.859375,20.966432
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,21.108329
Zgamma,3,n_el_baseline==0,3423357,249515.859375,21.228814
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,21.358739
Zgamma,5,trigger==1,2358497,109967.375,21.464121
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,21.929463
Zgamma,7,MET>100GeV,1789816,54244.46875,22.267300
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,22.554344
Zgamma,9,140>mT>100GeV,21357,1156.57519531,22.875642
Zgamma,10,VertexBDTScore>0.1,19491,1002.6987915,22.889880
Zgamma,11,met_tst_sig>7,16868,842.495605469,22.903102
Zgamma,12,ph_eta<1.75,13069,659.378234863,22.942158
Zgamma,13,dphi_met_phterm>1.20,12193,573.968444824,22.964428
Zgamma,14,dmet>-20GeV,12018,567.502929688,22.977375
Zgamma,15,dphi_jj_central<2.35,10216,497.089385986,22.999626
