cut,ggHyyd,Zjets,Zgamma,Wgamma,Wjets,gammajet_direct,data23,S/sqrt(B),S/sqrt(S+B),S/sqrt(S+1.3B),ZBi (σ_b=30%)
LOAD,2.29e+04,1.74e+06,3.1e+05,5.68e+05,3.97e+06,1.73e+08,2.13e+08,1.157,1.157,1.015,-0.199
CUT 1 (preprocessing),8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_mu_baseline==0,8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_el_baseline==0,8732.756,1.99e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.641,0.641,0.562,-0.199
n_tau_baseline==0,8630.402,1.96e+05,2.4e+05,3.95e+05,2.78e+06,1.43e+08,3.55e+07,0.639,0.639,0.560,-0.199
trigger==1,2584.305,6059.204,1.1e+05,9.75e+04,2.74e+05,6.37e+06,7.73e+06,0.677,0.677,0.593,-0.198
ph_pt>50GeV,2578.163,6016.867,1.1e+05,9.72e+04,2.72e+05,6.35e+06,7.67e+06,0.677,0.677,0.594,-0.198
MET>100GeV,568.633,775.327,5.42e+04,4.02e+04,5.05e+04,9.48e+05,1.01e+06,0.392,0.392,0.344,-0.198
n_jet_central<=3,491.889,681.041,5.11e+04,3.56e+04,4.62e+04,9.06e+05,8.57e+05,0.357,0.357,0.313,-0.198
140>mT>100GeV,290.678,34.804,1156.575,2327.195,3585.151,1.05e+04,2.73e+04,1.373,1.368,1.201,-0.177
VertexBDTScore>0.1,268.245,16.828,1002.699,1992.714,3077.472,4023.637,1.33e+04,1.751,1.741,1.529,-0.161
met_tst_sig>7,229.917,3.858,842.496,1593.363,1910.402,111.789,2643.627,2.728,2.684,2.363,-0.091
ph_eta<1.75,201.621,2.959,659.378,1198.658,1050.921,42.373,1860.896,2.906,2.847,2.508,-0.060
dphi_met_phterm>1.20,194.342,2.908,573.968,1117.968,994.762,42.373,1487.921,2.992,2.925,2.579,-0.046
dmet>-20GeV,193.013,2.002,567.503,1077.472,971.630,9.491,1373.236,3.051,2.980,2.628,-0.039
dphi_jj_central<2.35,183.300,1.455,497.089,954.006,890.616,6.838,1160.788,3.094,3.016,2.660,-0.026
dphi_met_jetterm<0.85,183.300,1.455,496.750,953.408,890.616,6.838,1160.788,3.094,3.016,2.661,-0.026
balance>0.90,171.446,1.301,443.470,844.500,758.296,6.838,752.029,3.236,3.142,2.774,0.003
jetterm>80GeV,171.446,1.301,443.133,844.213,758.296,6.838,740.817,3.243,3.148,2.780,0.003
3.1>dphi_phterm_jetterm>1.6,171.173,1.301,441.723,841.489,751.618,6.711,740.817,3.244,3.149,2.780,0.004
metsigres<42000,171.173,1.301,441.554,841.162,751.408,6.709,740.817,3.245,3.149,2.781,0.004
met_noJVT>90GeV,171.173,1.301,441.370,838.607,746.528,6.709,729.605,3.256,3.159,2.790,0.005
