sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,3.108824
ggHyyd,1,n_ph==1,195671,19979.1210938,3.132143
ggHyyd,2,pv_z exists,195671,19979.1210938,3.153527
ggHyyd,3,goodPV,86910,8732.75585938,3.201976
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,3.236883
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,3.273704
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,3.307416
ggHyyd,7,trigger==1,25430,2584.30541992,3.333108
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,3.363432
ggHyyd,9,MET>100GeV,5628,568.633117676,3.382715
ggHyyd,10,n_jet_central<=3,4858,491.889312744,3.400613
ggHyyd,11,140>mT>100GeV,2866,290.678192139,3.428507
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,3.445883
ggHyyd,13,met_tst_sig>7,2269,229.917266846,3.463220
ggHyyd,14,ph_eta<1.75,1989,201.620956421,3.481830
ggHyyd,15,dphi_met_phterm>1.20,1912,194.341964722,3.500345
ggHyyd,16,dmet>-20GeV,1898,193.013442993,3.517627
ggHyyd,17,dphi_jj_central<2.35,1797,183.299560547,3.539090
ggHyyd,18,dphi_met_jetterm<0.85,1797,183.299560547,3.559763
Zjets,0,loaded,11544081,1739103.625,65.045213
Zjets,1,n_ph==1,4463818,828876.3125,65.297455
Zjets,2,truth e->gamma,3242488,674497.875,65.993047
Zjets,3,n_mu_baseline==0,3229462,673846.625,66.565597
Zjets,4,n_el_baseline==0,770339,199435.75,66.762363
Zjets,5,n_tau_baseline==0,729391,196128.671875,66.899913
Zjets,6,trigger==1,95006,6059.20361328,66.947883
Zjets,7,ph_pt>50GeV,94607,6016.86669922,67.065981
Zjets,8,MET>100GeV,14813,775.327148438,67.084793
Zjets,9,n_jet_central<=3,7940,681.040649414,67.097704
Zjets,10,140>mT>100GeV,532,34.8040351868,67.227643
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,67.237524
Zjets,12,met_tst_sig>7,74,3.8582701683,67.247069
Zjets,13,ph_eta<1.75,42,2.95947122574,67.312072
Zjets,14,dphi_met_phterm>1.20,41,2.90816855431,67.323829
Zjets,15,dmet>-20GeV,39,2.00230240822,67.334280
Zjets,16,dphi_jj_central<2.35,28,1.45462393761,67.349248
Zjets,17,dphi_met_jetterm<0.85,28,1.45462393761,67.362769
Zgamma,0,loaded,4341141,310120.1875,23.023275
Zgamma,1,n_ph==1,3423357,249515.859375,23.293251
