sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,1.019751
ggHyyd,1,n_ph==1,195671,19979.1210938,1.040268
ggHyyd,2,pv_z exists,195671,19979.1210938,1.063818
ggHyyd,3,goodPV,86910,8732.75585938,1.106500
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,1.137462
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,1.168169
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,1.199076
ggHyyd,7,trigger==1,25430,2584.30541992,1.220341
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,1.243090
ggHyyd,9,MET>100GeV,5628,568.633117676,1.259469
ggHyyd,10,n_jet_central<=3,4858,491.889312744,1.274884
ggHyyd,11,140>mT>100GeV,2866,290.678192139,1.298726
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,1.313725
ggHyyd,13,20>met_tst_sig>7,2269,229.917266846,1.330460
ggHyyd,14,ph_eta<1.74,1985,201.349777222,1.346736
ggHyyd,15,dphi_met_phterm>1.23,1894,192.588760376,1.363179
ggHyyd,16,41.6GeV>dmet>-21.2GeV,1884,191.725524902,1.379998
ggHyyd,17,dphi_jj_central<2.37,1787,182.42956543,1.399173
ggHyyd,18,dphi_met_jetterm<0.73,1777,181.499847412,1.417329
Zjets,0,loaded,11544081,1739103.625,65.709302
Zjets,1,n_ph==1,4463818,828876.3125,65.985192
Zjets,2,truth e->gamma,3242488,674497.875,66.630848
Zjets,3,n_mu_baseline==0,3229462,673846.625,67.170880
Zjets,4,n_el_baseline==0,770339,199435.75,67.343766
Zjets,5,n_tau_baseline==0,729391,196128.671875,67.460153
Zjets,6,trigger==1,95006,6059.20361328,67.496450
Zjets,7,ph_pt>50GeV,94607,6016.86669922,67.591649
Zjets,8,MET>100GeV,14813,775.327148438,67.604486
Zjets,9,n_jet_central<=3,7940,681.040649414,67.615031
Zjets,10,140>mT>100GeV,532,34.8040351868,67.689892
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,67.697914
Zjets,12,20>met_tst_sig>7,74,3.8582701683,67.706966
Zjets,13,ph_eta<1.74,41,2.95579719543,67.744678
Zjets,14,dphi_met_phterm>1.23,39,2.85536193848,67.754011
Zjets,15,41.6GeV>dmet>-21.2GeV,37,1.94949579239,67.763493
Zjets,16,dphi_jj_central<2.37,28,1.45462393761,67.774947
Zjets,17,dphi_met_jetterm<0.73,28,1.45462393761,67.785640
Zgamma,0,loaded,4341141,310120.1875,24.556501
Zgamma,1,n_ph==1,3423357,249515.859375,24.722792
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,24.857349
Zgamma,3,n_el_baseline==0,3423357,249515.859375,24.988621
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,25.115772
Zgamma,5,trigger==1,2358497,109967.375,25.221239
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,25.652068
Zgamma,7,MET>100GeV,1789816,54244.46875,25.961405
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,26.239871
Zgamma,9,140>mT>100GeV,21357,1156.57519531,26.553221
Zgamma,10,VertexBDTScore>0.1,19491,1002.6987915,26.566512
Zgamma,11,20>met_tst_sig>7,16686,842.074035645,26.580825
Zgamma,12,ph_eta<1.74,12874,656.327392578,26.608404
Zgamma,13,dphi_met_phterm>1.23,11888,561.293395996,26.621921
Zgamma,14,41.6GeV>dmet>-21.2GeV,11735,556.124084473,26.635403
Zgamma,15,dphi_jj_central<2.37,10000,487.826385498,26.651842
Zgamma,16,dphi_met_jetterm<0.73,9938,481.774169922,26.666841
Wgamma,0,loaded,1772654,567686.5625,11.349507
Wgamma,1,n_ph==1,1308982,427789.75,11.423421
Wgamma,2,n_mu_baseline==0,1308982,427789.75,11.479318
Wgamma,3,n_el_baseline==0,1308982,427789.75,11.536095
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,11.586776
Wgamma,5,trigger==1,521828,97547.65625,11.619633
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,11.720936
Wgamma,7,MET>100GeV,342184,40247.3164062,11.784129
Wgamma,8,n_jet_central<=3,282073,35614.7070312,11.833792
Wgamma,9,140>mT>100GeV,15265,2327.1953125,11.902767
Wgamma,10,VertexBDTScore>0.1,14042,1992.71435547,11.914045
Wgamma,11,20>met_tst_sig>7,11350,1592.60192871,11.926635
Wgamma,12,ph_eta<1.74,8672,1190.93566895,11.944149
Wgamma,13,dphi_met_phterm>1.23,8329,1093.28808594,11.956202
Wgamma,14,41.6GeV>dmet>-21.2GeV,8103,1056.81506348,11.968391
Wgamma,15,dphi_jj_central<2.37,6696,937.735839844,11.983301
Wgamma,16,dphi_met_jetterm<0.73,6660,925.184082031,11.996815
Wjets,0,loaded,3041984,3974293,19.239402
Wjets,1,n_ph==1,2230309,3093999.5,19.362912
Wjets,2,truth e->gamma,1962593,2811573.25,19.729804
Wjets,3,n_mu_baseline==0,1962593,2811573.25,20.063904
Wjets,4,n_el_baseline==0,1962593,2811573.25,20.398936
Wjets,5,n_tau_baseline==0,1937580,2779467,20.730910
Wjets,6,trigger==1,287662,273664.25,20.823547
Wjets,7,ph_pt>50GeV,286760,272168.78125,20.907587
Wjets,8,MET>100GeV,119227,50452.7617188,20.942876
Wjets,9,n_jet_central<=3,73933,46210.453125,20.968229
Wjets,10,140>mT>100GeV,14272,3585.15087891,21.021388
Wjets,11,VertexBDTScore>0.1,13282,3077.47241211,21.032892
Wjets,12,20>met_tst_sig>7,7853,1909.97033691,21.044846
Wjets,13,ph_eta<1.74,4416,1042.17895508,21.063447
Wjets,14,dphi_met_phterm>1.23,4354,975.688354492,21.074299
Wjets,15,41.6GeV>dmet>-21.2GeV,4251,953.289611816,21.085667
Wjets,16,dphi_jj_central<2.37,3326,873.622741699,21.099106
Wjets,17,dphi_met_jetterm<0.73,3320,869.815612793,21.111631
gammajet_direct,0,loaded,13721741,172729872,51.013282
gammajet_direct,1,n_ph==1,12921098,145885296,51.460532
gammajet_direct,2,n_mu_baseline==0,12921098,145885296,51.844156
gammajet_direct,3,n_el_baseline==0,12921098,145885296,52.225731
gammajet_direct,4,n_tau_baseline==0,12807272,143290624,52.608581
gammajet_direct,5,trigger==1,6956099,6367350,52.887357
gammajet_direct,6,ph_pt>50GeV,6955806,6345570.5,53.946090
gammajet_direct,7,MET>100GeV,1489230,947646.125,54.321449
gammajet_direct,8,n_jet_central<=3,1031214,905971.25,54.511977
gammajet_direct,9,140>mT>100GeV,27495,10478.9306641,54.744819
gammajet_direct,10,VertexBDTScore>0.1,27203,4023.63696289,54.758633
gammajet_direct,11,20>met_tst_sig>7,65,111.665374756,54.769633
gammajet_direct,12,ph_eta<1.74,57,42.2500114441,54.805506
gammajet_direct,13,dphi_met_phterm>1.23,57,42.2500114441,54.815514
gammajet_direct,14,41.6GeV>dmet>-21.2GeV,52,9.36742687225,54.825422
gammajet_direct,15,dphi_jj_central<2.37,41,6.71546220779,54.837735
gammajet_direct,16,dphi_met_jetterm<0.73,40,6.54419612885,54.849156
data23,0,loaded,19779010,213169876.876,49.705136
data23,1,jet_faking_photon,3384689,36493235.1549,51.961228
data23,2,n_ph_baseline==1,3354286,36165772.7527,53.224515
data23,3,n_mu_baseline==0,3354286,36165772.7527,54.447962
data23,4,n_el_baseline==0,3354286,36165772.7527,55.693010
data23,5,n_tau_baseline==0,3294169,35519418.8962,56.912837
data23,6,trigger==1,719136,7733948.5806,57.290888
data23,7,ph_pt>50GeV,713598,7672785.44681,57.733234
data23,8,MET>100GeV,93925,1009484.23596,57.863062
data23,9,n_jet_central<=3,79778,857114.855923,57.952777
data23,10,140>mT>100GeV,2513,27254.3611138,58.123519
data23,11,VertexBDTScore>0.1,1231,13349.217037,58.185874
data23,12,20>met_tst_sig>7,244,2643.62666149,58.248716
data23,13,ph_eta<1.74,176,1860.89647812,58.350758
data23,14,dphi_met_phterm>1.23,137,1455.07131076,58.411182
data23,15,41.6GeV>dmet>-21.2GeV,126,1340.38614534,58.472299
data23,16,dphi_jj_central<2.37,107,1139.15009217,58.535951
data23,17,dphi_met_jetterm<0.73,105,1117.51237023,58.598513
