sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,1.450306
ggHyyd,1,n_ph==1,195671,19979.1210938,1.471058
ggHyyd,2,pv_z exists,195671,19979.1210938,1.490628
ggHyyd,3,goodPV,86910,8732.75585938,1.533207
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,1.565117
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,1.597130
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,1.628792
ggHyyd,7,trigger==1,25430,2584.30541992,1.649769
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,1.672521
ggHyyd,9,MET>100GeV,5628,568.633117676,1.689167
ggHyyd,10,n_jet_central<=3,4858,491.889312744,1.704651
ggHyyd,11,140>mT>100GeV,2866,290.678192139,1.728667
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,1.743585
ggHyyd,13,met_tst_sig>7,2269,229.917266846,1.758727
ggHyyd,14,ph_eta<1.74,1985,201.349777222,1.774888
ggHyyd,15,dphi_met_phterm>1.23,1894,192.588760376,1.791216
ggHyyd,16,dmet>-21GeV,1882,191.513061523,1.806655
ggHyyd,17,dphi_jj_central<2.37,1785,182.21711731,1.825784
ggHyyd,18,dphi_met_jetterm<0.73,1775,181.287399292,1.844243
Zjets,0,loaded,11544081,1739103.625,61.774797
Zjets,1,n_ph==1,4463818,828876.3125,62.086211
Zjets,2,truth e->gamma,3242488,674497.875,62.751497
Zjets,3,n_mu_baseline==0,3229462,673846.625,63.291810
Zjets,4,n_el_baseline==0,770339,199435.75,63.464998
Zjets,5,n_tau_baseline==0,729391,196128.671875,63.592700
Zjets,6,trigger==1,95006,6059.20361328,63.629844
Zjets,7,ph_pt>50GeV,94607,6016.86669922,63.757956
Zjets,8,MET>100GeV,14813,775.327148438,63.770943
Zjets,9,n_jet_central<=3,7940,681.040649414,63.781193
Zjets,10,140>mT>100GeV,532,34.8040351868,63.878307
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,63.886896
Zjets,12,met_tst_sig>7,74,3.8582701683,63.894853
Zjets,13,ph_eta<1.74,41,2.95579719543,63.940917
Zjets,14,dphi_met_phterm>1.23,39,2.85536193848,63.950855
Zjets,15,dmet>-21GeV,37,1.94949579239,63.959541
Zjets,16,dphi_jj_central<2.37,28,1.45462393761,63.971927
Zjets,17,dphi_met_jetterm<0.73,28,1.45462393761,63.982845
Zgamma,0,loaded,4341141,310120.1875,23.411635
Zgamma,1,n_ph==1,3423357,249515.859375,23.591973
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,23.722859
Zgamma,3,n_el_baseline==0,3423357,249515.859375,23.849437
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,23.976158
Zgamma,5,trigger==1,2358497,109967.375,24.082836
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,24.581664
Zgamma,7,MET>100GeV,1789816,54244.46875,24.895019
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,25.164675
Zgamma,9,140>mT>100GeV,21357,1156.57519531,25.502021
Zgamma,10,VertexBDTScore>0.1,19491,1002.6987915,25.514497
Zgamma,11,met_tst_sig>7,16868,842.495605469,25.526851
Zgamma,12,ph_eta<1.74,13012,656.599243164,25.563899
Zgamma,13,dphi_met_phterm>1.23,12026,561.565063477,25.577190
Zgamma,14,dmet>-21GeV,11881,556.490844727,25.589045
Zgamma,15,dphi_jj_central<2.37,10128,488.119812012,25.605005
Zgamma,16,dphi_met_jetterm<0.73,10066,482.067657471,25.619367
Wgamma,0,loaded,1772654,567686.5625,11.769551
Wgamma,1,n_ph==1,1308982,427789.75,11.850390
Wgamma,2,n_mu_baseline==0,1308982,427789.75,11.914157
Wgamma,3,n_el_baseline==0,1308982,427789.75,11.976395
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,12.030334
Wgamma,5,trigger==1,521828,97547.65625,12.063878
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,12.165350
Wgamma,7,MET>100GeV,342184,40247.3164062,12.227390
Wgamma,8,n_jet_central<=3,282073,35614.7070312,12.281285
Wgamma,9,140>mT>100GeV,15265,2327.1953125,12.350953
Wgamma,10,VertexBDTScore>0.1,14042,1992.71435547,12.362060
Wgamma,11,met_tst_sig>7,11449,1593.36254883,12.374179
Wgamma,12,ph_eta<1.74,8763,1191.68359375,12.390971
Wgamma,13,dphi_met_phterm>1.23,8420,1094.03613281,12.402940
