sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,2.337110
ggHyyd,1,n_ph==1,195671,19979.1210938,2.358228
ggHyyd,2,pv_z exists,195671,19979.1210938,2.377744
ggHyyd,3,goodPV,86910,8732.75585938,2.421088
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,2.452698
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,2.484265
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,2.516251
ggHyyd,7,trigger==1,25430,2584.30541992,2.536927
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,2.559473
ggHyyd,9,MET>100GeV,5628,568.633117676,2.575991
ggHyyd,10,n_jet_central<=3,4858,491.889312744,2.591391
ggHyyd,11,140>mT>100GeV,2866,290.678192139,2.615138
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,2.630017
ggHyyd,13,20>met_tst_sig>7,2269,229.917266846,2.646304
ggHyyd,14,ph_eta<1.74,1985,201.349777222,2.662209
ggHyyd,15,dphi_met_phterm>1.23,1894,192.588760376,2.678148
ggHyyd,16,41.9GeV>dmet>-21.2GeV,1884,191.725524902,2.694562
ggHyyd,17,dphi_jj_central<2.37,1787,182.42956543,2.713535
ggHyyd,18,dphi_met_jetterm<0.73,1777,181.499847412,2.731549
ggHyyd,19,balance>0.91,1647,168.547775269,2.754463
ggHyyd,20,jetterm>92GeV,1643,168.073806763,2.769081
ggHyyd,21,3.1>dphi_phterm_jetterm>1.6,1642,168.025772095,2.789531
ggHyyd,22,metsigres<36000,1642,168.025772095,2.804712
ggHyyd,23,met_noJVT>90GeV,1641,167.897750854,2.819065
Zjets,0,loaded,11544081,1739103.625,63.298440
Zjets,1,n_ph==1,4463818,828876.3125,63.560205
Zjets,2,truth e->gamma,3242488,674497.875,64.138532
Zjets,3,n_mu_baseline==0,3229462,673846.625,64.620706
Zjets,4,n_el_baseline==0,770339,199435.75,64.783999
Zjets,5,n_tau_baseline==0,729391,196128.671875,64.896142
Zjets,6,trigger==1,95006,6059.20361328,64.932247
Zjets,7,ph_pt>50GeV,94607,6016.86669922,65.029504
Zjets,8,MET>100GeV,14813,775.327148438,65.042412
Zjets,9,n_jet_central<=3,7940,681.040649414,65.052809
Zjets,10,140>mT>100GeV,532,34.8040351868,65.149346
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,65.157869
Zjets,12,20>met_tst_sig>7,74,3.8582701683,65.167353
Zjets,13,ph_eta<1.74,41,2.95579719543,65.215800
Zjets,14,dphi_met_phterm>1.23,39,2.85536193848,65.225711
Zjets,15,41.9GeV>dmet>-21.2GeV,37,1.94949579239,65.235702
Zjets,16,dphi_jj_central<2.37,28,1.45462393761,65.247452
Zjets,17,dphi_met_jetterm<0.73,28,1.45462393761,65.258274
Zjets,18,balance>0.91,16,1.24998044968,65.315069
Zjets,19,jetterm>92GeV,16,1.24998044968,65.323134
Zjets,20,3.1>dphi_phterm_jetterm>1.6,16,1.24998044968,65.336681
Zjets,21,metsigres<36000,16,1.24998044968,65.344967
Zjets,22,met_noJVT>90GeV,16,1.24998044968,65.352698
Zgamma,0,loaded,4341141,310120.1875,22.884355
Zgamma,1,n_ph==1,3423357,249515.859375,23.053087
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,23.187067
Zgamma,3,n_el_baseline==0,3423357,249515.859375,23.321516
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,23.451819
Zgamma,5,trigger==1,2358497,109967.375,23.560644
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,24.028937
Zgamma,7,MET>100GeV,1789816,54244.46875,24.356090
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,24.631256
Zgamma,9,140>mT>100GeV,21357,1156.57519531,24.932304
Zgamma,10,VertexBDTScore>0.1,19491,1002.6987915,24.945006
Zgamma,11,20>met_tst_sig>7,16686,842.074035645,24.958777
Zgamma,12,ph_eta<1.74,12874,656.327392578,24.983871
Zgamma,13,dphi_met_phterm>1.23,11888,561.293395996,24.997433
Zgamma,14,41.9GeV>dmet>-21.2GeV,11735,556.124084473,25.010707
Zgamma,15,dphi_jj_central<2.37,10000,487.826385498,25.027100
Zgamma,16,dphi_met_jetterm<0.73,9938,481.774169922,25.041809
Zgamma,17,balance>0.91,8485,424.601470947,25.072755
Zgamma,18,jetterm>92GeV,8460,421.962677002,25.082984
Zgamma,19,3.1>dphi_phterm_jetterm>1.6,8453,421.41506958,25.100252
Zgamma,20,metsigres<36000,8381,420.97668457,25.110911
Zgamma,21,met_noJVT>90GeV,8370,419.975952148,25.120899
Wgamma,0,loaded,1772654,567686.5625,11.658808
Wgamma,1,n_ph==1,1308982,427789.75,11.733864
Wgamma,2,n_mu_baseline==0,1308982,427789.75,11.793293
Wgamma,3,n_el_baseline==0,1308982,427789.75,11.851950
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,11.907019
Wgamma,5,trigger==1,521828,97547.65625,11.939542
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,12.038223
Wgamma,7,MET>100GeV,342184,40247.3164062,12.100999
Wgamma,8,n_jet_central<=3,282073,35614.7070312,12.151556
Wgamma,9,140>mT>100GeV,15265,2327.1953125,12.221898
