cut,ggHyyd,Zjets,Zgamma,Wgamma,Wjets,gammajet_direct,data23,S/sqrt(B),S/sqrt(S+B),S/sqrt(S+1.3B),ZBi (σ_b=30%)
LOAD,2.29e+04,1.74e+06,3.1e+05,5.68e+05,3.97e+06,1.73e+08,2.13e+08,1.157,1.157,1.015,-0.199
CUT 1 (preprocessing),8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_mu_baseline==0,8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_el_baseline==0,8732.756,1.99e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.641,0.641,0.562,-0.199
n_tau_baseline==0,8630.402,1.96e+05,2.4e+05,3.95e+05,2.78e+06,1.43e+08,3.55e+07,0.639,0.639,0.560,-0.199
trigger==1,2584.305,6059.204,1.1e+05,9.75e+04,2.74e+05,6.37e+06,7.73e+06,0.677,0.677,0.593,-0.198
ph_pt>50GeV,2578.163,6016.867,1.1e+05,9.72e+04,2.72e+05,6.35e+06,7.67e+06,0.677,0.677,0.594,-0.198
MET>100GeV,568.633,775.327,5.42e+04,4.02e+04,5.05e+04,9.48e+05,1.01e+06,0.392,0.392,0.344,-0.198
n_jet_central<=3,491.889,681.041,5.11e+04,3.56e+04,4.62e+04,9.06e+05,8.57e+05,0.357,0.357,0.313,-0.198
140>mT>100GeV,290.678,34.804,1156.575,2327.195,3585.151,1.05e+04,2.73e+04,1.373,1.368,1.201,-0.177
VertexBDTScore>0.1,268.245,16.828,1002.699,1992.714,3077.472,4023.637,1.33e+04,1.751,1.741,1.529,-0.161
20>met_tst_sig>7,229.917,3.858,842.074,1592.602,1909.970,111.665,2643.627,2.728,2.685,2.363,-0.091
ph_eta<1.74,201.350,2.956,656.327,1190.936,1042.179,42.250,1860.896,2.908,2.848,2.510,-0.059
dphi_met_phterm>1.23,192.589,2.855,561.293,1093.288,975.688,42.250,1455.071,2.997,2.929,2.582,-0.044
41.6GeV>dmet>-21.2GeV,167.898,1.250,419.976,799.063,713.427,6.538,666.264,3.289,3.188,2.815,0.013
dphi_jj_central<2.37,182.430,1.455,487.826,937.736,873.623,6.715,1139.150,3.107,3.028,2.672,-0.024
dphi_met_jetterm<0.73,181.500,1.455,481.774,925.184,869.816,6.544,1117.512,3.112,3.032,2.675,-0.022
balance>0.91,168.548,1.250,424.601,805.007,730.873,6.544,698.327,3.264,3.165,2.796,0.009
jetterm>92GeV,168.074,1.250,421.963,804.347,726.365,6.544,677.476,3.272,3.173,2.802,0.011
3.1>dphi_phterm_jetterm>1.6,168.026,1.250,421.415,802.779,720.399,6.540,677.476,3.276,3.177,2.806,0.012
metsigres<36000,168.026,1.250,420.977,801.617,718.589,6.538,677.476,3.279,3.179,2.807,0.012
met_noJVT>90GeV,167.898,1.250,419.976,799.063,713.427,6.538,666.264,3.289,3.188,2.815,0.013
