sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,1.623639
ggHyyd,1,n_ph==1,195671,19979.1210938,1.642005
ggHyyd,2,pv_z exists,195671,19979.1210938,1.659841
ggHyyd,3,goodPV,86910,8732.75585938,1.696824
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,1.724123
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,1.751265
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,1.778518
ggHyyd,7,trigger==1,25430,2584.30541992,1.798467
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,1.819924
ggHyyd,9,MET>100GeV,5628,568.633117676,1.835782
ggHyyd,10,n_jet_central<=3,4858,491.889312744,1.850812
ggHyyd,11,140>mT>100GeV,2866,290.678192139,1.874056
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,1.888472
ggHyyd,13,met_tst_sig>6,2422,246.402603149,1.902751
ggHyyd,14,ph_eta<1.75,2124,216.296020508,1.918427
ggHyyd,15,dphi_met_phterm>1.25,2004,204.333862305,1.934613
ggHyyd,16,dmet>-10GeV,1945,198.449615479,1.949652
ggHyyd,17,dphi_jj_central<2.5,1860,189.781646729,1.968410
ggHyyd,18,dphi_met_jetterm<0.75,1852,189.093826294,1.986117
Zjets,0,loaded,11544081,1739103.625,66.662971
Zjets,1,n_ph==1,4463818,828876.3125,66.953008
Zjets,2,truth e->gamma,3242488,674497.875,67.529040
Zjets,3,n_mu_baseline==0,3229462,673846.625,67.983985
Zjets,4,n_el_baseline==0,770339,199435.75,68.140836
Zjets,5,n_tau_baseline==0,729391,196128.671875,68.249236
Zjets,6,trigger==1,95006,6059.20361328,68.283583
Zjets,7,ph_pt>50GeV,94607,6016.86669922,68.382978
Zjets,8,MET>100GeV,14813,775.327148438,68.395824
Zjets,9,n_jet_central<=3,7940,681.040649414,68.406076
Zjets,10,140>mT>100GeV,532,34.8040351868,68.504504
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,68.512872
Zjets,12,met_tst_sig>6,110,4.69675064087,68.520731
Zjets,13,ph_eta<1.75,64,3.50093126297,68.568507
Zjets,14,dphi_met_phterm>1.25,62,3.40049600601,68.578073
Zjets,15,dmet>-10GeV,59,2.57056331635,68.586670
Zjets,16,dphi_jj_central<2.5,39,2.18737649918,68.598654
Zjets,17,dphi_met_jetterm<0.75,39,2.18737649918,68.609496
Zgamma,0,loaded,4341141,310120.1875,24.951744
Zgamma,1,n_ph==1,3423357,249515.859375,25.192267
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,25.380063
Zgamma,3,n_el_baseline==0,3423357,249515.859375,25.539981
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,25.719109
Zgamma,5,trigger==1,2358497,109967.375,25.853951
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,26.429173
Zgamma,7,MET>100GeV,1789816,54244.46875,26.841699
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,27.177882
Zgamma,9,140>mT>100GeV,21357,1156.57519531,27.545633
Zgamma,10,VertexBDTScore>0.1,19491,1002.6987915,27.559889
Zgamma,11,met_tst_sig>6,17951,909.430664062,27.573627
Zgamma,12,ph_eta<1.75,13899,712.930664062,27.613950
Zgamma,13,dphi_met_phterm>1.25,12760,603.706787109,27.628056
Zgamma,14,dmet>-10GeV,12264,584.802734375,27.640569
Zgamma,15,dphi_jj_central<2.5,10642,520.273071289,27.675056
Zgamma,16,dphi_met_jetterm<0.75,10605,515.904907227,27.706785
Wgamma,0,loaded,1772654,567686.5625,12.930167
Wgamma,1,n_ph==1,1308982,427789.75,13.033919
Wgamma,2,n_mu_baseline==0,1308982,427789.75,13.100652
Wgamma,3,n_el_baseline==0,1308982,427789.75,13.159171
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,13.223780
Wgamma,5,trigger==1,521828,97547.65625,13.258511
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,13.363161
Wgamma,7,MET>100GeV,342184,40247.3164062,13.428000
Wgamma,8,n_jet_central<=3,282073,35614.7070312,13.482328
Wgamma,9,140>mT>100GeV,15265,2327.1953125,13.552217
Wgamma,10,VertexBDTScore>0.1,14042,1992.71435547,13.563631
Wgamma,11,met_tst_sig>6,12493,1758.48303223,13.574827
Wgamma,12,ph_eta<1.75,9627,1328.21313477,13.591986
Wgamma,13,dphi_met_phterm>1.25,9199,1216.34265137,13.604295
Wgamma,14,dmet>-10GeV,8663,1142.26477051,13.615541
Wgamma,15,dphi_jj_central<2.5,7289,1026.39038086,13.630615
Wgamma,16,dphi_met_jetterm<0.75,7270,1020.24560547,13.644356
Wjets,0,loaded,3041984,3974293,20.904555
Wjets,1,n_ph==1,2230309,3093999.5,21.050568
Wjets,2,truth e->gamma,1962593,2811573.25,21.444059
Wjets,3,n_mu_baseline==0,1962593,2811573.25,21.794859
Wjets,4,n_el_baseline==0,1962593,2811573.25,22.144549
Wjets,5,n_tau_baseline==0,1937580,2779467,22.510532
Wjets,6,trigger==1,287662,273664.25,22.607232
Wjets,7,ph_pt>50GeV,286760,272168.78125,22.690284
Wjets,8,MET>100GeV,119227,50452.7617188,22.725912
Wjets,9,n_jet_central<=3,73933,46210.453125,22.751420
Wjets,10,140>mT>100GeV,14272,3585.15087891,22.800677
Wjets,11,VertexBDTScore>0.1,13282,3077.47241211,22.812272
Wjets,12,met_tst_sig>6,9522,2308.57666016,22.824310
