cut,ggHyyd,Zjets,Zgamma,Wgamma,Wjets,gammajet_direct,data23,S/sqrt(B),S/sqrt(S+B),S/sqrt(S+1.3B),ZBi (σ_b=30%)
LOAD,2.29e+04,1.74e+06,3.1e+05,5.68e+05,3.97e+06,1.73e+08,2.13e+08,1.157,1.157,1.015,-0.199
CUT 1 (preprocessing),8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_mu_baseline==0,8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_el_baseline==0,8732.756,1.99e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.641,0.641,0.562,-0.199
n_tau_baseline==0,8630.402,1.96e+05,2.4e+05,3.95e+05,2.78e+06,1.43e+08,3.55e+07,0.639,0.639,0.560,-0.199
trigger==1,2584.305,6059.204,1.1e+05,9.75e+04,2.74e+05,6.37e+06,7.73e+06,0.677,0.677,0.593,-0.198
ph_pt>50GeV,2578.163,6016.867,1.1e+05,9.72e+04,2.72e+05,6.35e+06,7.67e+06,0.677,0.677,0.594,-0.198
MET>100GeV,568.633,775.327,5.42e+04,4.02e+04,5.05e+04,9.48e+05,1.01e+06,0.392,0.392,0.344,-0.198
n_jet_central<=3,491.889,681.041,5.11e+04,3.56e+04,4.62e+04,9.06e+05,8.57e+05,0.357,0.357,0.313,-0.198
mT>80GeV,479.373,669.827,5.1e+04,3.51e+04,4.31e+04,9.03e+05,8.53e+05,0.349,0.349,0.306,-0.198
VertexBDTScore>0.1,394.525,103.815,1.55e+04,1.45e+04,1.82e+04,5.21e+04,1.84e+05,0.739,0.739,0.648,-0.194
16>met_tst_sig>7,318.471,27.661,1.11e+04,1.09e+04,1.27e+04,1.33e+04,2.87e+04,1.150,1.147,1.007,-0.185
ph_eta<1.74,279.185,10.005,8554.817,8433.686,6113.023,1.04e+04,2.19e+04,1.186,1.183,1.038,-0.182
dphi_met_phterm>1.34,244.803,5.745,1344.266,2597.776,3134.704,268.628,3075.019,2.397,2.370,2.084,-0.120
41.9GeV>dmet>-17.9GeV,242.102,4.495,1316.651,2494.941,3038.792,193.667,2772.667,2.443,2.413,2.123,-0.117
dphi_jj_central<2.58,233.561,3.841,1186.963,2262.224,2856.828,187.155,2466.386,2.467,2.435,2.142,-0.112
dphi_met_jetterm<0.73,230.167,3.688,1024.083,1984.877,2807.384,85.194,2195.312,2.557,2.522,2.219,-0.104
