sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,1.568105
ggHyyd,1,n_ph==1,195671,19979.1210938,1.591755
ggHyyd,2,pv_z exists,195671,19979.1210938,1.612252
ggHyyd,3,goodPV,86910,8732.75585938,1.656880
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,1.689330
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,1.720907
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,1.753670
ggHyyd,7,trigger==1,25430,2584.30541992,1.774923
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,1.800493
ggHyyd,9,MET>100GeV,5628,568.633117676,1.817647
ggHyyd,10,n_jet_central<=3,4858,491.889312744,1.833381
ggHyyd,11,mT>80GeV,4730,479.373291016,1.856476
ggHyyd,12,VertexBDTScore>0.1,3886,394.524505615,1.872175
ggHyyd,13,16>met_tst_sig>7,3127,318.471008301,1.889102
ggHyyd,14,ph_eta<1.74,2739,279.184631348,1.905555
ggHyyd,15,dphi_met_phterm>1.34,2403,244.803207397,1.922385
ggHyyd,16,41.9GeV>dmet>-17.9GeV,2374,242.101577759,1.938978
ggHyyd,17,dphi_jj_central<2.58,2290,233.560852051,1.958163
ggHyyd,18,dphi_met_jetterm<0.73,2254,230.166717529,1.976591
Zjets,0,loaded,11544081,1739103.625,63.052705
Zjets,1,n_ph==1,4463818,828876.3125,63.303923
Zjets,2,truth e->gamma,3242488,674497.875,63.855848
Zjets,3,n_mu_baseline==0,3229462,673846.625,64.318503
Zjets,4,n_el_baseline==0,770339,199435.75,64.477737
Zjets,5,n_tau_baseline==0,729391,196128.671875,64.590639
Zjets,6,trigger==1,95006,6059.20361328,64.626822
Zjets,7,ph_pt>50GeV,94607,6016.86669922,64.758749
Zjets,8,MET>100GeV,14813,775.327148438,64.771840
Zjets,9,n_jet_central<=3,7940,681.040649414,64.782193
Zjets,10,mT>80GeV,7481,669.827209473,64.872198
Zjets,11,VertexBDTScore>0.1,3638,103.814674377,64.881725
Zjets,12,16>met_tst_sig>7,542,27.6607723236,64.891305
Zjets,13,ph_eta<1.74,259,10.0046873093,64.937712
Zjets,14,dphi_met_phterm>1.34,117,5.74460744858,64.947674
Zjets,15,41.9GeV>dmet>-17.9GeV,110,4.49466896057,64.957716
Zjets,16,dphi_jj_central<2.58,76,3.84063267708,64.969893
Zjets,17,dphi_met_jetterm<0.73,72,3.68780374527,64.981072
Zgamma,0,loaded,4341141,310120.1875,22.461897
Zgamma,1,n_ph==1,3423357,249515.859375,22.629984
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,22.750628
Zgamma,3,n_el_baseline==0,3423357,249515.859375,22.871627
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,22.990711
Zgamma,5,trigger==1,2358497,109967.375,23.089669
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,23.502581
Zgamma,7,MET>100GeV,1789816,54244.46875,23.794045
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,24.050153
Zgamma,9,mT>80GeV,1637543,51015.9023438,24.507049
Zgamma,10,VertexBDTScore>0.1,636216,15452.5957031,24.644101
Zgamma,11,16>met_tst_sig>7,329856,11064.7636719,24.732015
Zgamma,12,ph_eta<1.74,259688,8554.81738281,24.808012
Zgamma,13,dphi_met_phterm>1.34,39645,1344.26599121,24.842095
Zgamma,14,41.9GeV>dmet>-17.9GeV,38609,1316.65124512,24.861953
Zgamma,15,dphi_jj_central<2.58,33936,1186.96325684,24.886760
Zgamma,16,dphi_met_jetterm<0.73,28107,1024.08288574,24.910716
Wgamma,0,loaded,1772654,567686.5625,12.394448
Wgamma,1,n_ph==1,1308982,427789.75,12.467071
Wgamma,2,n_mu_baseline==0,1308982,427789.75,12.522963
Wgamma,3,n_el_baseline==0,1308982,427789.75,12.576728
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,12.629474
Wgamma,5,trigger==1,521828,97547.65625,12.661792
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,12.758237
Wgamma,7,MET>100GeV,342184,40247.3164062,12.822302
Wgamma,8,n_jet_central<=3,282073,35614.7070312,12.872633
Wgamma,9,mT>80GeV,278201,35146.9921875,12.964643
Wgamma,10,VertexBDTScore>0.1,150346,14461.9160156,13.000157
Wgamma,11,16>met_tst_sig>7,96927,10949.1894531,13.031355
Wgamma,12,ph_eta<1.74,76675,8433.68554688,13.063657
Wgamma,13,dphi_met_phterm>1.34,25012,2597.77636719,13.083841
Wgamma,14,41.9GeV>dmet>-17.9GeV,24001,2494.94091797,13.100759
Wgamma,15,dphi_jj_central<2.58,20541,2262.22436523,13.121011
Wgamma,16,dphi_met_jetterm<0.73,17349,1984.87719727,13.138593
Wjets,0,loaded,3041984,3974293,19.252995
Wjets,1,n_ph==1,2230309,3093999.5,19.371657
Wjets,2,truth e->gamma,1962593,2811573.25,19.712925
Wjets,3,n_mu_baseline==0,1962593,2811573.25,20.002486
Wjets,4,n_el_baseline==0,1962593,2811573.25,20.297766
Wjets,5,n_tau_baseline==0,1937580,2779467,20.590979
Wjets,6,trigger==1,287662,273664.25,20.679477
Wjets,7,ph_pt>50GeV,286760,272168.78125,20.764777
Wjets,8,MET>100GeV,119227,50452.7617188,20.800516
Wjets,9,n_jet_central<=3,73933,46210.453125,20.830782
Wjets,10,mT>80GeV,56398,43051.8515625,20.884554
Wjets,11,VertexBDTScore>0.1,48111,18166.046875,20.903484
Wjets,12,16>met_tst_sig>7,30299,12662.2890625,20.921592
Wjets,13,ph_eta<1.74,16738,6113.02294922,20.944704
Wjets,14,dphi_met_phterm>1.34,14509,3134.70361328,20.958784
Wjets,15,41.9GeV>dmet>-17.9GeV,14089,3038.79174805,20.973322
Wjets,16,dphi_jj_central<2.58,12109,2856.82763672,20.990657
Wjets,17,dphi_met_jetterm<0.73,11912,2807.38378906,21.006365
gammajet_direct,0,loaded,13721741,172729872,51.975396
gammajet_direct,1,n_ph==1,12921098,145885296,52.426623
gammajet_direct,2,n_mu_baseline==0,12921098,145885296,52.811065
gammajet_direct,3,n_el_baseline==0,12921098,145885296,53.196651
gammajet_direct,4,n_tau_baseline==0,12807272,143290624,53.578961
gammajet_direct,5,trigger==1,6956099,6367350,53.839325
gammajet_direct,6,ph_pt>50GeV,6955806,6345570.5,54.895096
gammajet_direct,7,MET>100GeV,1489230,947646.125,55.255563
gammajet_direct,8,n_jet_central<=3,1031214,905971.25,55.440019
gammajet_direct,9,mT>80GeV,945796,902750.5625,55.771475
gammajet_direct,10,VertexBDTScore>0.1,877581,52135.1289062,55.911493
gammajet_direct,11,16>met_tst_sig>7,57270,13336.7099609,55.970282
gammajet_direct,12,ph_eta<1.74,54018,10403.1630859,56.020456
gammajet_direct,13,dphi_met_phterm>1.34,1209,268.62802124,56.034484
