sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,1.626231
ggHyyd,1,n_ph==1,195671,19979.1210938,1.647225
ggHyyd,2,pv_z exists,195671,19979.1210938,1.666729
ggHyyd,3,goodPV,86910,8732.75585938,1.710260
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,1.741962
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,1.773396
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,1.805185
ggHyyd,7,trigger==1,25430,2584.30541992,1.826109
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,1.848836
ggHyyd,9,MET>100GeV,5628,568.633117676,1.865372
ggHyyd,10,n_jet_central<=3,4858,491.889312744,1.880552
ggHyyd,11,mT>80GeV,4730,479.373291016,1.903329
ggHyyd,12,VertexBDTScore>0.1,3886,394.524505615,1.918630
ggHyyd,13,met_tst_sig>7,3138,319.534698486,1.933592
ggHyyd,14,ph_eta<1.74,2750,280.248352051,1.949892
ggHyyd,15,dphi_met_phterm>1.35,2408,245.168502808,1.965725
ggHyyd,16,dmet>-17.9GeV,2379,242.466903687,1.980846
ggHyyd,17,dphi_jj_central<2.58,2296,234.047637939,1.999510
ggHyyd,18,dphi_met_jetterm<0.73,2260,230.653503418,2.017349
Zjets,0,loaded,11544081,1739103.625,60.017834
Zjets,1,n_ph==1,4463818,828876.3125,60.263785
Zjets,2,truth e->gamma,3242488,674497.875,60.825920
Zjets,3,n_mu_baseline==0,3229462,673846.625,61.292966
Zjets,4,n_el_baseline==0,770339,199435.75,61.450754
Zjets,5,n_tau_baseline==0,729391,196128.671875,61.559096
Zjets,6,trigger==1,95006,6059.20361328,61.595267
Zjets,7,ph_pt>50GeV,94607,6016.86669922,61.693664
Zjets,8,MET>100GeV,14813,775.327148438,61.707065
Zjets,9,n_jet_central<=3,7940,681.040649414,61.717738
Zjets,10,mT>80GeV,7481,669.827209473,61.804755
Zjets,11,VertexBDTScore>0.1,3638,103.814674377,61.814073
Zjets,12,met_tst_sig>7,554,29.2636070251,61.822512
Zjets,13,ph_eta<1.74,269,11.5270862579,61.865981
Zjets,14,dphi_met_phterm>1.35,121,5.76536464691,61.875958
Zjets,15,dmet>-17.9GeV,114,4.51542615891,61.884681
Zjets,16,dphi_jj_central<2.58,79,3.86062216759,61.897124
Zjets,17,dphi_met_jetterm<0.73,75,3.70779323578,61.908417
Zgamma,0,loaded,4341141,310120.1875,23.084487
Zgamma,1,n_ph==1,3423357,249515.859375,23.248468
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,23.371206
Zgamma,3,n_el_baseline==0,3423357,249515.859375,23.492342
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,23.611936
Zgamma,5,trigger==1,2358497,109967.375,23.712688
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,24.120585
Zgamma,7,MET>100GeV,1789816,54244.46875,24.410495
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,24.671259
Zgamma,9,mT>80GeV,1637543,51015.9023438,25.134115
Zgamma,10,VertexBDTScore>0.1,636216,15452.5957031,25.268002
Zgamma,11,met_tst_sig>7,597527,14213.9707031,25.364198
Zgamma,12,ph_eta<1.74,478756,11043.0390625,25.472294
