cut,ggHyyd,Zjets,Zgamma,Wgamma,Wjets,gammajet_direct,data23,S/sqrt(B),S/sqrt(S+B),S/sqrt(S+1.3B),ZBi (σ_b=30%)
LOAD,2.29e+04,1.74e+06,3.1e+05,5.68e+05,3.97e+06,1.73e+08,2.13e+08,1.157,1.157,1.015,-0.199
CUT 1 (preprocessing),8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_mu_baseline==0,8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_el_baseline==0,8732.756,1.99e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.641,0.641,0.562,-0.199
n_tau_baseline==0,8630.402,1.96e+05,2.4e+05,3.95e+05,2.78e+06,1.43e+08,3.55e+07,0.639,0.639,0.560,-0.199
trigger==1,2584.305,6059.204,1.1e+05,9.75e+04,2.74e+05,6.37e+06,7.73e+06,0.677,0.677,0.593,-0.198
ph_pt>50GeV,2578.163,6016.867,1.1e+05,9.72e+04,2.72e+05,6.35e+06,7.67e+06,0.677,0.677,0.594,-0.198
MET>100GeV,568.633,775.327,5.42e+04,4.02e+04,5.05e+04,9.48e+05,1.01e+06,0.392,0.392,0.344,-0.198
n_jet_central<=3,491.889,681.041,5.11e+04,3.56e+04,4.62e+04,9.06e+05,8.57e+05,0.357,0.357,0.313,-0.198
mT>80GeV,479.373,669.827,5.1e+04,3.51e+04,4.31e+04,9.03e+05,8.53e+05,0.349,0.349,0.306,-0.198
VertexBDTScore>0.1,394.525,103.815,1.55e+04,1.45e+04,1.82e+04,5.21e+04,1.84e+05,0.739,0.739,0.648,-0.194
met_tst_sig>7,319.535,29.264,1.42e+04,1.24e+04,1.46e+04,1.35e+04,2.95e+04,1.101,1.099,0.964,-0.186
ph_eta<1.74,280.248,11.527,1.1e+04,9559.430,7146.088,1.06e+04,2.26e+04,1.135,1.133,0.994,-0.184
dphi_met_phterm>1.35,245.169,5.765,1425.500,2693.001,3151.575,268.928,3128.720,2.373,2.346,2.063,-0.122
dmet>-17.9GeV,242.467,4.515,1397.690,2588.858,3060.575,193.910,2837.580,2.415,2.386,2.098,-0.119
dphi_jj_central<2.58,234.048,3.861,1259.904,2346.380,2877.725,187.398,2509.661,2.442,2.412,2.121,-0.114
dphi_met_jetterm<0.73,230.654,3.708,1088.567,2059.682,2826.286,85.327,2238.587,2.531,2.497,2.197,-0.106
