sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,1.473793
ggHyyd,1,n_ph==1,195671,19979.1210938,1.494359
ggHyyd,2,pv_z exists,195671,19979.1210938,1.513906
ggHyyd,3,goodPV,86910,8732.75585938,1.557100
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,1.588833
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,1.620474
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,1.652153
ggHyyd,7,trigger==1,25430,2584.30541992,1.672964
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,1.695652
ggHyyd,9,MET>100GeV,5628,568.633117676,1.712590
ggHyyd,10,n_jet_central<=3,4858,491.889312744,1.728144
ggHyyd,11,mT>80GeV,4730,479.373291016,1.750856
ggHyyd,12,VertexBDTScore>0.1,3886,394.524505615,1.766290
ggHyyd,13,16>met_tst_sig>7,3127,318.471008301,1.782944
ggHyyd,14,ph_eta<1.74,2739,279.184631348,1.799372
ggHyyd,15,dphi_met_phterm>1.34,2403,244.803207397,1.815720
ggHyyd,16,41.9GeV>dmet>-17.9GeV,2374,242.101577759,1.832401
ggHyyd,17,dphi_jj_central<2.58,2290,233.560852051,1.851550
ggHyyd,18,dphi_met_jetterm<0.73,2254,230.166717529,1.869657
ggHyyd,19,balance>0.93,2023,207.338562012,1.892427
ggHyyd,20,jetterm>79GeV,2023,207.338562012,1.907270
ggHyyd,21,3.1>dphi_phterm_jetterm>1.8,2001,205.03729248,1.928141
ggHyyd,22,metsigres<36000,1999,204.908905029,1.942946
ggHyyd,23,met_noJVT>89GeV,1999,204.908905029,1.957205
Zjets,0,loaded,11544081,1739103.625,59.318550
Zjets,1,n_ph==1,4463818,828876.3125,59.562838
Zjets,2,truth e->gamma,3242488,674497.875,60.132691
Zjets,3,n_mu_baseline==0,3229462,673846.625,60.634461
Zjets,4,n_el_baseline==0,770339,199435.75,60.802306
Zjets,5,n_tau_baseline==0,729391,196128.671875,60.910158
Zjets,6,trigger==1,95006,6059.20361328,60.945585
Zjets,7,ph_pt>50GeV,94607,6016.86669922,61.041965
Zjets,8,MET>100GeV,14813,775.327148438,61.055013
Zjets,9,n_jet_central<=3,7940,681.040649414,61.065519
Zjets,10,mT>80GeV,7481,669.827209473,61.162320
Zjets,11,VertexBDTScore>0.1,3638,103.814674377,61.171582
Zjets,12,16>met_tst_sig>7,542,27.6607723236,61.181309
Zjets,13,ph_eta<1.74,259,10.0046873093,61.230578
Zjets,14,dphi_met_phterm>1.34,117,5.74460744858,61.240536
Zjets,15,41.9GeV>dmet>-17.9GeV,110,4.49466896057,61.250651
Zjets,16,dphi_jj_central<2.58,76,3.84063267708,61.262641
Zjets,17,dphi_met_jetterm<0.73,72,3.68780374527,61.273941
Zjets,18,balance>0.93,40,2.60258722305,61.328902
Zjets,19,jetterm>79GeV,40,2.60258722305,61.337323
Zjets,20,3.1>dphi_phterm_jetterm>1.8,37,2.5436630249,61.350483
Zjets,21,metsigres<36000,37,2.5436630249,61.358783
Zjets,22,met_noJVT>89GeV,37,2.5436630249,61.366296
Zgamma,0,loaded,4341141,310120.1875,21.908443
Zgamma,1,n_ph==1,3423357,249515.859375,22.064161
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,22.183465
Zgamma,3,n_el_baseline==0,3423357,249515.859375,22.302947
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,22.419294
Zgamma,5,trigger==1,2358497,109967.375,22.516984
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,22.922933
Zgamma,7,MET>100GeV,1789816,54244.46875,23.212400
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,23.468262
Zgamma,9,mT>80GeV,1637543,51015.9023438,23.932323
Zgamma,10,VertexBDTScore>0.1,636216,15452.5957031,24.064119
Zgamma,11,16>met_tst_sig>7,329856,11064.7636719,24.150490
Zgamma,12,ph_eta<1.74,259688,8554.81738281,24.227267
Zgamma,13,dphi_met_phterm>1.34,39645,1344.26599121,24.261521
Zgamma,14,41.9GeV>dmet>-17.9GeV,38609,1316.65124512,24.281482
Zgamma,15,dphi_jj_central<2.58,33936,1186.96325684,24.306165
Zgamma,16,dphi_met_jetterm<0.73,28107,1024.08288574,24.327426
Zgamma,17,balance>0.93,23236,867.98614502,24.372168
Zgamma,18,jetterm>79GeV,23233,867.655517578,24.385505
Zgamma,19,3.1>dphi_phterm_jetterm>1.8,21139,815.767700195,24.407473
Zgamma,20,metsigres<36000,20852,813.837280273,24.421560
Zgamma,21,met_noJVT>89GeV,20845,813.022705078,24.434405
Wgamma,0,loaded,1772654,567686.5625,12.088306
Wgamma,1,n_ph==1,1308982,427789.75,12.158656
Wgamma,2,n_mu_baseline==0,1308982,427789.75,12.213614
Wgamma,3,n_el_baseline==0,1308982,427789.75,12.268162
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,12.318013
Wgamma,5,trigger==1,521828,97547.65625,12.349473
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,12.445464
