sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,1.225468
ggHyyd,1,n_ph==1,195671,19979.1210938,1.252211
ggHyyd,2,pv_z exists,195671,19979.1210938,1.273345
ggHyyd,3,goodPV,86910,8732.75585938,1.335857
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,1.368842
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,1.409726
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,1.457458
ggHyyd,7,trigger==1,25430,2584.30541992,1.491959
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,1.540127
ggHyyd,9,MET>100GeV,5628,568.633117676,1.558714
ggHyyd,10,n_jet_central<=3,4858,491.889312744,1.575793
ggHyyd,11,140>mT>100GeV,2866,290.678192139,1.617780
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,1.644030
ggHyyd,13,met_tst_sig>7,2269,229.917266846,1.660709
ggHyyd,14,ph_eta<1.75,1989,201.620956421,1.678650
ggHyyd,15,dphi_met_phterm>1.20,1912,194.341964722,1.704222
ggHyyd,16,dmet>-20GeV,1898,193.013442993,1.739891
ggHyyd,17,dphi_jj_central<2.5,1823,185.477737427,1.761103
ggHyyd,18,dphi_met_jetterm<0.75,1816,184.862060547,1.781071
ggHyyd,19,balance>0.90,1684,171.668167114,1.820223
ggHyyd,20,jetterm>80GeV,1684,171.668167114,1.837437
ggHyyd,21,3.1>dphi_phterm_jetterm>1.6,1681,171.395721436,1.861815
ggHyyd,22,metsigres<42GeV,1681,171.395721436,1.886761
ggHyyd,23,met_noJVT>90GeV,1681,171.395721436,1.915055
Zjets,0,loaded,11544081,1739103.625,74.559345
Zjets,1,n_ph==1,4463818,828876.3125,74.948094
Zjets,2,truth e->gamma,3242488,674497.875,75.851470
Zjets,3,n_mu_baseline==0,3229462,673846.625,76.519994
Zjets,4,n_el_baseline==0,770339,199435.75,76.744044
Zjets,5,n_tau_baseline==0,729391,196128.671875,76.902718
Zjets,6,trigger==1,95006,6059.20361328,76.955140
Zjets,7,ph_pt>50GeV,94607,6016.86669922,77.137741
Zjets,8,MET>100GeV,14813,775.327148438,77.153082
Zjets,9,n_jet_central<=3,7940,681.040649414,77.164453
Zjets,10,140>mT>100GeV,532,34.8040351868,77.347940
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,77.357940
Zjets,12,met_tst_sig>7,74,3.8582701683,77.366914
Zjets,13,ph_eta<1.75,42,2.95947122574,77.456566
Zjets,14,dphi_met_phterm>1.20,41,2.90816855431,77.467951
Zjets,15,dmet>-20GeV,39,2.00230240822,77.482493
Zjets,16,dphi_jj_central<2.5,29,1.48558330536,77.503894
Zjets,17,dphi_met_jetterm<0.75,29,1.48558330536,77.522233
Zjets,18,balance>0.90,17,1.30083703995,77.625575
Zjets,19,jetterm>80GeV,17,1.30083703995,77.634778
Zjets,20,3.1>dphi_phterm_jetterm>1.6,17,1.30083703995,77.650720
Zjets,21,metsigres<42GeV,17,1.30083703995,77.661621
Zjets,22,met_noJVT>90GeV,17,1.30083703995,77.670212
Zgamma,0,loaded,4341141,310120.1875,17.918813
Zgamma,1,n_ph==1,3423357,249515.859375,18.163365
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,18.346530
Zgamma,3,n_el_baseline==0,3423357,249515.859375,18.525611
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,18.688711
Zgamma,5,trigger==1,2358497,109967.375,18.840252
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,19.449302
Zgamma,7,MET>100GeV,1789816,54244.46875,19.891698
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,20.231344
Zgamma,9,140>mT>100GeV,21357,1156.57519531,20.620085
Zgamma,10,VertexBDTScore>0.1,19491,1002.6987915,20.634019
Zgamma,11,met_tst_sig>7,16868,842.495605469,20.652206
Zgamma,12,ph_eta<1.75,13069,659.378234863,20.704433
Zgamma,13,dphi_met_phterm>1.20,12193,573.968444824,20.719731
Zgamma,14,dmet>-20GeV,12018,567.502929688,20.744638
Zgamma,15,dphi_jj_central<2.5,10500,508.01663208,20.765864
Zgamma,16,dphi_met_jetterm<0.75,10463,503.443054199,20.793962
Zgamma,17,balance>0.90,8874,443.306793213,20.861070
Zgamma,18,jetterm>80GeV,8869,442.969268799,20.884503
Zgamma,19,3.1>dphi_phterm_jetterm>1.6,8851,441.559509277,20.916463
Zgamma,20,metsigres<42GeV,8798,441.384399414,20.929212
Zgamma,21,met_noJVT>90GeV,8788,441.199707031,20.944581
Wgamma,0,loaded,1772654,567686.5625,8.961899
Wgamma,1,n_ph==1,1308982,427789.75,9.077064
Wgamma,2,n_mu_baseline==0,1308982,427789.75,9.140405
Wgamma,3,n_el_baseline==0,1308982,427789.75,9.201807
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,9.278358
Wgamma,5,trigger==1,521828,97547.65625,9.312282
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,9.478542
Wgamma,7,MET>100GeV,342184,40247.3164062,9.572338
Wgamma,8,n_jet_central<=3,282073,35614.7070312,9.634675
Wgamma,9,140>mT>100GeV,15265,2327.1953125,9.766268
Wgamma,10,VertexBDTScore>0.1,14042,1992.71435547,9.779483
Wgamma,11,met_tst_sig>7,11449,1593.36254883,9.792148
Wgamma,12,ph_eta<1.75,8818,1198.65820312,9.812172
Wgamma,13,dphi_met_phterm>1.20,8523,1117.96826172,9.839742
Wgamma,14,dmet>-20GeV,8268,1077.47192383,9.868645
Wgamma,15,dphi_jj_central<2.5,7033,980.012939453,9.887963
Wgamma,16,dphi_met_jetterm<0.75,7018,974.672180176,9.907357
Wgamma,17,balance>0.90,5841,850.165527344,10.104034
Wgamma,18,jetterm>80GeV,5840,849.879150391,10.116007
Wgamma,19,3.1>dphi_phterm_jetterm>1.6,5828,847.154785156,10.162465
Wgamma,20,metsigres<42GeV,5771,846.815856934,10.174943
Wgamma,21,met_noJVT>90GeV,5764,844.261230469,10.185392
Wjets,0,loaded,3041984,3974293,19.241444
Wjets,1,n_ph==1,2230309,3093999.5,19.426847
Wjets,2,truth e->gamma,1962593,2811573.25,19.935584
Wjets,3,n_mu_baseline==0,1962593,2811573.25,20.358612
Wjets,4,n_el_baseline==0,1962593,2811573.25,20.775997
Wjets,5,n_tau_baseline==0,1937580,2779467,21.153728
Wjets,6,trigger==1,287662,273664.25,21.294608
Wjets,7,ph_pt>50GeV,286760,272168.78125,21.419964
