sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,2.922523
ggHyyd,1,n_ph==1,195671,19979.1210938,2.944689
ggHyyd,2,pv_z exists,195671,19979.1210938,2.967616
ggHyyd,3,goodPV,86910,8732.75585938,3.035822
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,3.072948
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,3.117315
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,3.162272
ggHyyd,7,trigger==1,25430,2584.30541992,3.184776
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,3.212555
ggHyyd,9,MET>100GeV,5628,568.633117676,3.231338
ggHyyd,10,n_jet_central<=3,4858,491.889312744,3.248783
ggHyyd,11,140>mT>100GeV,2866,290.678192139,3.275315
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,3.292337
ggHyyd,13,met_tst_sig>7,2269,229.917266846,3.314898
ggHyyd,14,ph_eta<1.75,1989,201.620956421,3.334399
ggHyyd,15,dphi_met_phterm>1.20,1912,194.341964722,3.353719
ggHyyd,16,dmet>-20GeV,1898,193.013442993,3.378250
ggHyyd,17,dphi_jj_central<2.5,1823,185.477737427,3.428022
ggHyyd,18,dphi_met_jetterm<0.75,1816,184.862060547,3.454412
Zjets,0,loaded,11544081,1739103.625,72.471101
Zjets,1,n_ph==1,4463818,828876.3125,72.809610
Zjets,2,truth e->gamma,3242488,674497.875,73.589732
Zjets,3,n_mu_baseline==0,3229462,673846.625,74.199090
Zjets,4,n_el_baseline==0,770339,199435.75,74.441318
Zjets,5,n_tau_baseline==0,729391,196128.671875,74.570752
Zjets,6,trigger==1,95006,6059.20361328,74.635018
Zjets,7,ph_pt>50GeV,94607,6016.86669922,74.786263
Zjets,8,MET>100GeV,14813,775.327148438,74.802059
Zjets,9,n_jet_central<=3,7940,681.040649414,74.813838
Zjets,10,140>mT>100GeV,532,34.8040351868,74.983060
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,74.992848
Zjets,12,met_tst_sig>7,74,3.8582701683,75.002252
Zjets,13,ph_eta<1.75,42,2.95947122574,75.086263
Zjets,14,dphi_met_phterm>1.20,41,2.90816855431,75.097167
Zjets,15,dmet>-20GeV,39,2.00230240822,75.107294
Zjets,16,dphi_jj_central<2.5,29,1.48558330536,75.121224
Zjets,17,dphi_met_jetterm<0.75,29,1.48558330536,75.134231
Zgamma,0,loaded,4341141,310120.1875,23.406284
Zgamma,1,n_ph==1,3423357,249515.859375,23.638424
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,23.792595
Zgamma,3,n_el_baseline==0,3423357,249515.859375,23.917687
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,24.073479
Zgamma,5,trigger==1,2358497,109967.375,24.210780
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,24.746314
Zgamma,7,MET>100GeV,1789816,54244.46875,25.152172
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,25.514926
Zgamma,9,140>mT>100GeV,21357,1156.57519531,25.909375
Zgamma,10,VertexBDTScore>0.1,19491,1002.6987915,25.933045
Zgamma,11,met_tst_sig>7,16868,842.495605469,25.951665
Zgamma,12,ph_eta<1.75,13069,659.378234863,26.014463
Zgamma,13,dphi_met_phterm>1.20,12193,573.968444824,26.029201
Zgamma,14,dmet>-20GeV,12018,567.502929688,26.042673
Zgamma,15,dphi_jj_central<2.5,10500,508.01663208,26.065577
Zgamma,16,dphi_met_jetterm<0.75,10463,503.443054199,26.090687
Wgamma,0,loaded,1772654,567686.5625,11.985015
Wgamma,1,n_ph==1,1308982,427789.75,12.074311
Wgamma,2,n_mu_baseline==0,1308982,427789.75,12.164248
Wgamma,3,n_el_baseline==0,1308982,427789.75,12.232334
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,12.290467
Wgamma,5,trigger==1,521828,97547.65625,12.332577
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,12.451639
