sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,37,3.6708343029,0.233008
ggHyyd,1,has>=1 photon,37,3.6708343029,0.244361
ggHyyd,2,n_ph==1,34,3.51560282707,0.255561
ggHyyd,3,pv_z exists,34,3.51560282707,0.266987
ggHyyd,4,goodPV,15,1.49662566185,0.284863
ggHyyd,5,n_mu==1,15,1.49662566185,0.300433
ggHyyd,6,n_el_baseline==0,15,1.49662566185,0.316624
ggHyyd,7,n_tau_baseline==0,15,1.49662566185,0.332182
ggHyyd,8,trigger==1,4,0.339598327875,0.347873
ggHyyd,9,ph_pt exists,4,0.339598327875,0.363774
ggHyyd,10,ph_pt>=50GeV,4,0.339598327875,0.379980
ggHyyd,11,MET>=100GeV,1,0.0365124084055,0.396306
ggHyyd,12,n_jet_central<=3,0,0,0.411685
ggHyyd,13,mT>=100GeV,0,0,0.433104
Zjets,0,loaded,571897,57236.078125,1.869010
Zjets,1,has>=1 photon,571897,57236.078125,1.890862
Zjets,2,n_ph==1,354869,42662.8828125,1.909208
Zjets,3,truth e->gamma,13026,689.125061035,1.930839
Zjets,4,n_mu==1,13026,689.125061035,1.941989
Zjets,5,n_el_baseline==0,13026,689.125061035,1.952685
Zjets,6,n_tau_baseline==0,12726,671.364318848,1.963946
Zjets,7,trigger==1,918,68.0374832153,1.973710
Zjets,8,ph_pt exists,918,68.0374832153,1.984865
Zjets,9,ph_pt>=50GeV,909,67.6721496582,1.997318
Zjets,10,MET>=100GeV,610,29.3964710236,2.006707
Zjets,11,n_jet_central<=3,366,26.7500801086,2.015739
Zjets,12,mT>=100GeV,206,20.7779312134,2.035007
Zgamma,0,loaded,498076,40908.3828125,1.948572
Zgamma,1,has>=1 photon,498076,40908.3828125,1.968499
Zgamma,2,n_ph==1,397005,33165.7382812,1.986817
Zgamma,3,n_mu==1,397005,33165.7382812,2.003211
Zgamma,4,n_el_baseline==0,397005,33165.7382812,2.019296
Zgamma,5,n_tau_baseline==0,366196,31487.2558594,2.035666
Zgamma,6,trigger==1,208266,8688.50390625,2.050150
Zgamma,7,ph_pt exists,208266,8688.50390625,2.065238
Zgamma,8,ph_pt>=50GeV,208003,8665.73828125,2.102175
Zgamma,9,MET>=100GeV,148201,3722.09228516,2.130931
Zgamma,10,n_jet_central<=3,133667,3455.59619141,2.156336
Zgamma,11,mT>=100GeV,131883,3384.64331055,2.201265
Wgamma,0,loaded,1154285,249210.921875,3.726926
Wgamma,1,has>=1 photon,1154285,249210.921875,3.768520
Wgamma,2,n_ph==1,910917,200111.234375,3.806633
Wgamma,3,n_mu==1,910917,200111.234375,3.840243
Wgamma,4,n_el_baseline==0,910917,200111.234375,3.873047
Wgamma,5,n_tau_baseline==0,890763,195041.296875,3.905521
Wgamma,6,trigger==1,575329,82885.1328125,3.931442
Wgamma,7,ph_pt exists,575329,82885.1328125,3.958464
Wgamma,8,ph_pt>=50GeV,574546,82717.9140625,4.052118
Wgamma,9,MET>=100GeV,455965,45348.671875,4.127222
Wgamma,10,n_jet_central<=3,392653,41200.984375,4.189206
Wgamma,11,mT>=100GeV,382901,40084.1835938,4.301608
Wjets,0,loaded,163293,77680.9296875,1.356588
Wjets,1,has>=1 photon,163293,77680.9296875,1.367911
Wjets,2,n_ph==1,46788,35552.8476562,1.376886
Wjets,3,truth e->gamma,397,475.270874023,1.387945
Wjets,4,n_mu==1,397,475.270874023,1.397550
Wjets,5,n_el_baseline==0,397,475.270874023,1.406252
Wjets,6,n_tau_baseline==0,349,432.421051025,1.415452
Wjets,7,trigger==1,72,81.3287734985,1.424437
Wjets,8,ph_pt exists,72,81.3287734985,1.434320
Wjets,9,ph_pt>=50GeV,72,81.3287734985,1.444283
Wjets,10,MET>=100GeV,34,9.66370487213,1.453143
Wjets,11,n_jet_central<=3,25,8.98633384705,1.462013
Wjets,12,mT>=100GeV,21,9.04904460907,1.476833
gammajet_direct,0,loaded,6202,101564.8125,0.320592
gammajet_direct,1,has>=1 photon,6202,101564.8125,0.328245
gammajet_direct,2,n_ph==1,5797,89784.8125,0.335028
gammajet_direct,3,n_mu==1,5797,89784.8125,0.341979
gammajet_direct,4,n_el_baseline==0,5797,89784.8125,0.348686
gammajet_direct,5,n_tau_baseline==0,5314,80776.6328125,0.355585
gammajet_direct,6,trigger==1,3007,9581.80566406,0.361932
gammajet_direct,7,ph_pt exists,3007,9581.80566406,0.368639
gammajet_direct,8,ph_pt>=50GeV,3007,9581.80566406,0.378231
gammajet_direct,9,MET>=100GeV,1351,1408.68835449,0.387441
gammajet_direct,10,n_jet_central<=3,1043,1368.17907715,0.396419
gammajet_direct,11,mT>=100GeV,1034,1367.96704102,0.412183
data23,0,loaded,114421,1226035.55254,0.980350
data23,1,has>=1 photon,114421,1226035.55254,1.029735
data23,2,jet_faking_photon,18291,196189.015232,1.065291
data23,3,n_ph_baseline==1,18193,195132.381876,1.092053
data23,4,n_mu==1,18193,195132.381876,1.119486
data23,5,n_el_baseline==0,18193,195132.381876,1.147325
data23,6,n_tau_baseline==0,17306,185587.788881,1.175030
data23,7,trigger==1,7288,77922.8330261,1.200319
data23,8,ph_pt exists,7288,77922.8330261,1.226018
data23,9,ph_pt>=50GeV,7255,77560.230911,1.251839
data23,10,MET>=100GeV,4567,48799.769089,1.276137
data23,11,n_jet_central<=3,3886,41530.2280004,1.299904
data23,12,mT>=100GeV,3850,41142.7922771,1.331375
