sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,0.955361
ggHyyd,1,n_ph==1,195671,19979.1210938,0.977166
ggHyyd,2,pv_z exists,195671,19979.1210938,0.997942
ggHyyd,3,goodPV,86910,8732.75585938,1.044137
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,1.076956
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,1.107776
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,1.140667
ggHyyd,7,trigger==1,25430,2584.30541992,1.161276
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,1.184474
ggHyyd,9,MET>100GeV,5628,568.633117676,1.208426
ggHyyd,10,n_jet_central<=3,4858,491.889312744,1.224993
ggHyyd,11,140>mT>100GeV,2866,290.678192139,1.249714
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,1.264929
ggHyyd,13,20>met_tst_sig>7,2269,229.917266846,1.280859
ggHyyd,14,ph_eta<1.74,1985,201.349777222,1.298005
ggHyyd,15,dphi_met_phterm>1.23,1894,192.588760376,1.313652
ggHyyd,16,41.6GeV>dmet>-21.2GeV,1884,191.725524902,1.330030
ggHyyd,17,dphi_jj_central<2.37,1787,182.42956543,1.348756
ggHyyd,18,dphi_met_jetterm<0.73,1777,181.499847412,1.366602
Zjets,0,loaded,11544081,1739103.625,72.665296
Zjets,1,n_ph==1,4463818,828876.3125,72.915030
Zjets,2,truth e->gamma,3242488,674497.875,73.505825
Zjets,3,n_mu_baseline==0,3229462,673846.625,74.015130
Zjets,4,n_el_baseline==0,770339,199435.75,74.181111
Zjets,5,n_tau_baseline==0,729391,196128.671875,74.298029
Zjets,6,trigger==1,95006,6059.20361328,74.335403
Zjets,7,ph_pt>50GeV,94607,6016.86669922,74.435146
Zjets,8,MET>100GeV,14813,775.327148438,74.449466
Zjets,9,n_jet_central<=3,7940,681.040649414,74.459835
Zjets,10,140>mT>100GeV,532,34.8040351868,74.559576
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,74.568178
Zjets,12,20>met_tst_sig>7,74,3.8582701683,74.577250
Zjets,13,ph_eta<1.74,41,2.95579719543,74.621336
Zjets,14,dphi_met_phterm>1.23,39,2.85536193848,74.631247
Zjets,15,41.6GeV>dmet>-21.2GeV,37,1.94949579239,74.642839
Zjets,16,dphi_jj_central<2.37,28,1.45462393761,74.655449
Zjets,17,dphi_met_jetterm<0.73,28,1.45462393761,74.666757
Zgamma,0,loaded,4341141,310120.1875,25.483120
Zgamma,1,n_ph==1,3423357,249515.859375,25.644072
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,25.766047
Zgamma,3,n_el_baseline==0,3423357,249515.859375,25.887022
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,26.007892
Zgamma,5,trigger==1,2358497,109967.375,26.110244
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,26.521399
Zgamma,7,MET>100GeV,1789816,54244.46875,26.813986
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,27.076167
Zgamma,9,140>mT>100GeV,21357,1156.57519531,27.368729
Zgamma,10,VertexBDTScore>0.1,19491,1002.6987915,27.381118
