sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,3.187148
ggHyyd,1,n_ph==1,195671,19979.1210938,3.207803
ggHyyd,2,pv_z exists,195671,19979.1210938,3.227362
ggHyyd,3,goodPV,86910,8732.75585938,3.270100
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,3.302001
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,3.334065
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,3.366207
ggHyyd,7,trigger==1,25430,2584.30541992,3.386912
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,3.409426
ggHyyd,9,MET>100GeV,5628,568.633117676,3.426773
ggHyyd,10,n_jet_central<=3,4858,491.889312744,3.442267
ggHyyd,11,140>mT>100GeV,2866,290.678192139,3.465880
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,3.480753
ggHyyd,13,met_tst_sig>7,2269,229.917266846,3.495718
ggHyyd,14,ph_eta<1.74,1985,201.349777222,3.511950
ggHyyd,15,dphi_met_phterm>1.23,1894,192.588760376,3.528593
ggHyyd,16,dmet>-21GeV,1882,191.513061523,3.543849
ggHyyd,17,dphi_jj_central<2.37,1785,182.21711731,3.562784
ggHyyd,18,dphi_met_jetterm<0.73,1775,181.287399292,3.580884
Zjets,0,loaded,11544081,1739103.625,74.002079
Zjets,1,n_ph==1,4463818,828876.3125,74.258277
Zjets,2,truth e->gamma,3242488,674497.875,74.822245
Zjets,3,n_mu_baseline==0,3229462,673846.625,75.292052
Zjets,4,n_el_baseline==0,770339,199435.75,75.453600
Zjets,5,n_tau_baseline==0,729391,196128.671875,75.562649
Zjets,6,trigger==1,95006,6059.20361328,75.598255
Zjets,7,ph_pt>50GeV,94607,6016.86669922,75.695001
Zjets,8,MET>100GeV,14813,775.327148438,75.707822
Zjets,9,n_jet_central<=3,7940,681.040649414,75.718327
Zjets,10,140>mT>100GeV,532,34.8040351868,75.795480
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,75.804031
Zjets,12,met_tst_sig>7,74,3.8582701683,75.812072
Zjets,13,ph_eta<1.74,41,2.95579719543,75.850649
Zjets,14,dphi_met_phterm>1.23,39,2.85536193848,75.861355
Zjets,15,dmet>-21GeV,37,1.94949579239,75.870194
Zjets,16,dphi_jj_central<2.37,28,1.45462393761,75.882234
Zjets,17,dphi_met_jetterm<0.73,28,1.45462393761,75.893469
Zgamma,0,loaded,4341141,310120.1875,27.105074
Zgamma,1,n_ph==1,3423357,249515.859375,27.264514
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,27.390177
Zgamma,3,n_el_baseline==0,3423357,249515.859375,27.512623
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,27.633960
Zgamma,5,trigger==1,2358497,109967.375,27.734720
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,28.145901
Zgamma,7,MET>100GeV,1789816,54244.46875,28.435194
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,28.690996
Zgamma,9,140>mT>100GeV,21357,1156.57519531,28.985153
Zgamma,10,VertexBDTScore>0.1,19491,1002.6987915,28.997556
Zgamma,11,met_tst_sig>7,16868,842.495605469,29.009606
Zgamma,12,ph_eta<1.74,13012,656.599243164,29.034147
Zgamma,13,dphi_met_phterm>1.23,12026,561.565063477,29.047247
Zgamma,14,dmet>-21GeV,11881,556.490844727,29.058960
Zgamma,15,dphi_jj_central<2.37,10128,488.119812012,29.075115
Zgamma,16,dphi_met_jetterm<0.73,10066,482.067657471,29.089739
Wgamma,0,loaded,1772654,567686.5625,13.792427
Wgamma,1,n_ph==1,1308982,427789.75,13.868330
Wgamma,2,n_mu_baseline==0,1308982,427789.75,13.926384
Wgamma,3,n_el_baseline==0,1308982,427789.75,13.983785
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,14.035505
Wgamma,5,trigger==1,521828,97547.65625,14.068127
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,14.167131
Wgamma,7,MET>100GeV,342184,40247.3164062,14.230436
Wgamma,8,n_jet_central<=3,282073,35614.7070312,14.283311
Wgamma,9,140>mT>100GeV,15265,2327.1953125,14.354276
Wgamma,10,VertexBDTScore>0.1,14042,1992.71435547,14.365768
Wgamma,11,met_tst_sig>7,11449,1593.36254883,14.376562
Wgamma,12,ph_eta<1.74,8763,1191.68359375,14.393019
Wgamma,13,dphi_met_phterm>1.23,8420,1094.03613281,14.404837
Wgamma,14,dmet>-21GeV,8198,1059.25024414,14.421270
Wgamma,15,dphi_jj_central<2.37,6781,939.951660156,14.460224
Wgamma,16,dphi_met_jetterm<0.73,6745,927.399902344,14.473588
Wjets,0,loaded,3041984,3974293,22.912854
Wjets,1,n_ph==1,2230309,3093999.5,23.035451
Wjets,2,truth e->gamma,1962593,2811573.25,23.365968
Wjets,3,n_mu_baseline==0,1962593,2811573.25,23.660775
Wjets,4,n_el_baseline==0,1962593,2811573.25,23.956640
Wjets,5,n_tau_baseline==0,1937580,2779467,24.248747
Wjets,6,trigger==1,287662,273664.25,24.336436
Wjets,7,ph_pt>50GeV,286760,272168.78125,24.417289
Wjets,8,MET>100GeV,119227,50452.7617188,24.452307
Wjets,9,n_jet_central<=3,73933,46210.453125,24.477773
Wjets,10,140>mT>100GeV,14272,3585.15087891,24.527550
Wjets,11,VertexBDTScore>0.1,13282,3077.47241211,24.538642
Wjets,12,met_tst_sig>7,7873,1910.40222168,24.549126
Wjets,13,ph_eta<1.74,4432,1042.55932617,24.567362
Wjets,14,dphi_met_phterm>1.23,4370,976.068664551,24.578268
Wjets,15,dmet>-21GeV,4272,954.319213867,24.587891
Wjets,16,dphi_jj_central<2.37,3343,874.446289062,24.601398
Wjets,17,dphi_met_jetterm<0.73,3337,870.639038086,24.613759
gammajet_direct,0,loaded,13721741,172729872,58.730293
gammajet_direct,1,n_ph==1,12921098,145885296,59.186546
gammajet_direct,2,n_mu_baseline==0,12921098,145885296,59.573324
gammajet_direct,3,n_el_baseline==0,12921098,145885296,59.964405
gammajet_direct,4,n_tau_baseline==0,12807272,143290624,60.352834
gammajet_direct,5,trigger==1,6956099,6367350,60.611323
gammajet_direct,6,ph_pt>50GeV,6955806,6345570.5,61.641593
gammajet_direct,7,MET>100GeV,1489230,947646.125,62.008347
gammajet_direct,8,n_jet_central<=3,1031214,905971.25,62.194763
gammajet_direct,9,140>mT>100GeV,27495,10478.9306641,62.437056
gammajet_direct,10,VertexBDTScore>0.1,27203,4023.63696289,62.450682
gammajet_direct,11,met_tst_sig>7,69,111.788818359,62.459923
gammajet_direct,12,ph_eta<1.74,61,42.3734664917,62.498231
gammajet_direct,13,dphi_met_phterm>1.23,61,42.3734664917,62.508220
gammajet_direct,14,dmet>-21GeV,57,9.49087619781,62.516940
gammajet_direct,15,dphi_jj_central<2.37,44,6.83815574646,62.529158
gammajet_direct,16,dphi_met_jetterm<0.73,43,6.66688966751,62.540405
data23,0,loaded,19779010,213169876.876,52.003159
data23,1,jet_faking_photon,3384689,36493235.1549,54.252779
data23,2,n_ph_baseline==1,3354286,36165772.7527,55.469857
data23,3,n_mu_baseline==0,3354286,36165772.7527,56.678953
data23,4,n_el_baseline==0,3354286,36165772.7527,57.898493
data23,5,n_tau_baseline==0,3294169,35519418.8962,59.097785
data23,6,trigger==1,719136,7733948.5806,59.472982
data23,7,ph_pt>50GeV,713598,7672785.44681,59.899799
data23,8,MET>100GeV,93925,1009484.23596,60.023553
data23,9,n_jet_central<=3,79778,857114.855923,60.115371
data23,10,140>mT>100GeV,2513,27254.3611138,60.292170
data23,11,VertexBDTScore>0.1,1231,13349.217037,60.355243
data23,12,met_tst_sig>7,244,2643.62666149,60.418395
data23,13,ph_eta<1.74,176,1860.89647812,60.526451
data23,14,dphi_met_phterm>1.23,137,1455.07131076,60.608932
data23,15,dmet>-21GeV,126,1340.38614534,60.671622
data23,16,dphi_jj_central<2.37,107,1139.15009217,60.737786
data23,17,dphi_met_jetterm<0.73,105,1117.51237023,60.802666
