sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,2.733417
ggHyyd,1,n_ph==1,195671,19979.1210938,2.754352
ggHyyd,2,pv_z exists,195671,19979.1210938,2.772264
ggHyyd,3,goodPV,86910,8732.75585938,2.812026
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,2.839391
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,2.866812
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,2.893771
ggHyyd,7,trigger==1,25430,2584.30541992,2.913525
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,2.935331
ggHyyd,9,MET>100GeV,5628,568.633117676,2.950957
ggHyyd,10,n_jet_central<=3,4858,491.889312744,2.965857
ggHyyd,11,140>mT>100GeV,2866,290.678192139,2.989014
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,3.003780
ggHyyd,13,20>met_tst_sig>7,2269,229.917266846,3.019332
ggHyyd,14,ph_eta<1.74,1985,201.349777222,3.034582
ggHyyd,15,dphi_met_phterm>1.23,1894,192.588760376,3.050076
ggHyyd,16,41.6GeV>dmet>-21.2GeV,1884,191.725524902,3.069048
ggHyyd,17,dphi_jj_central<2.37,1787,182.42956543,3.090810
ggHyyd,18,dphi_met_jetterm<0.73,1777,181.499847412,3.113158
ggHyyd,19,balance>0.91,1647,168.547775269,3.137174
ggHyyd,20,jetterm>92GeV,1643,168.073806763,3.151395
ggHyyd,21,3.1>dphi_phterm_jetterm>1.6,1642,168.025772095,3.171488
ggHyyd,22,metsigres<36000,1642,168.025772095,3.186227
ggHyyd,23,met_noJVT>90GeV,1641,167.897750854,3.200237
Zjets,0,loaded,11544081,1739103.625,75.726937
Zjets,1,n_ph==1,4463818,828876.3125,75.946103
Zjets,2,truth e->gamma,3242488,674497.875,76.493546
Zjets,3,n_mu_baseline==0,3229462,673846.625,76.937916
Zjets,4,n_el_baseline==0,770339,199435.75,77.097234
Zjets,5,n_tau_baseline==0,729391,196128.671875,77.209739
Zjets,6,trigger==1,95006,6059.20361328,77.244523
Zjets,7,ph_pt>50GeV,94607,6016.86669922,77.331328
Zjets,8,MET>100GeV,14813,775.327148438,77.344473
Zjets,9,n_jet_central<=3,7940,681.040649414,77.359442
Zjets,10,140>mT>100GeV,532,34.8040351868,77.447713
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,77.456200
Zjets,12,20>met_tst_sig>7,74,3.8582701683,77.465520
Zjets,13,ph_eta<1.74,41,2.95579719543,77.510053
Zjets,14,dphi_met_phterm>1.23,39,2.85536193848,77.519526
Zjets,15,41.6GeV>dmet>-21.2GeV,37,1.94949579239,77.529631
Zjets,16,dphi_jj_central<2.37,28,1.45462393761,77.541635
Zjets,17,dphi_met_jetterm<0.73,28,1.45462393761,77.552714
Zjets,18,balance>0.91,16,1.24998044968,77.603852
Zjets,19,jetterm>92GeV,16,1.24998044968,77.612111
Zjets,20,3.1>dphi_phterm_jetterm>1.6,16,1.24998044968,77.625808
Zjets,21,metsigres<36000,16,1.24998044968,77.634281
Zjets,22,met_noJVT>90GeV,16,1.24998044968,77.642080
Zgamma,0,loaded,4341141,310120.1875,26.771877
Zgamma,1,n_ph==1,3423357,249515.859375,26.942946
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,27.095178
Zgamma,3,n_el_baseline==0,3423357,249515.859375,27.219638
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,27.345207
Zgamma,5,trigger==1,2358497,109967.375,27.447753
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,27.863598
Zgamma,7,MET>100GeV,1789816,54244.46875,28.180511
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,28.456209
Zgamma,9,140>mT>100GeV,21357,1156.57519531,28.786830
Zgamma,10,VertexBDTScore>0.1,19491,1002.6987915,28.808035
Zgamma,11,20>met_tst_sig>7,16686,842.074035645,28.829334
Zgamma,12,ph_eta<1.74,12874,656.327392578,28.853628
Zgamma,13,dphi_met_phterm>1.23,11888,561.293395996,28.866601
Zgamma,14,41.6GeV>dmet>-21.2GeV,11735,556.124084473,28.879548
Zgamma,15,dphi_jj_central<2.37,10000,487.826385498,28.903685
Zgamma,16,dphi_met_jetterm<0.73,9938,481.774169922,28.918340
Zgamma,17,balance>0.91,8485,424.601470947,28.961559
Zgamma,18,jetterm>92GeV,8460,421.962677002,28.971444
Zgamma,19,3.1>dphi_phterm_jetterm>1.6,8453,421.41506958,28.988060
Zgamma,20,metsigres<36000,8381,420.97668457,28.998749
Zgamma,21,met_noJVT>90GeV,8370,419.975952148,29.009968
Wgamma,0,loaded,1772654,567686.5625,13.157612
Wgamma,1,n_ph==1,1308982,427789.75,13.234579
Wgamma,2,n_mu_baseline==0,1308982,427789.75,13.290637
Wgamma,3,n_el_baseline==0,1308982,427789.75,13.347661
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,13.400850
Wgamma,5,trigger==1,521828,97547.65625,13.432621
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,13.534086
Wgamma,7,MET>100GeV,342184,40247.3164062,13.597026
Wgamma,8,n_jet_central<=3,282073,35614.7070312,13.648230
Wgamma,9,140>mT>100GeV,15265,2327.1953125,13.714264
Wgamma,10,VertexBDTScore>0.1,14042,1992.71435547,13.725339
Wgamma,11,20>met_tst_sig>7,11350,1592.60192871,13.738336
Wgamma,12,ph_eta<1.74,8672,1190.93566895,13.754515
Wgamma,13,dphi_met_phterm>1.23,8329,1093.28808594,13.766282
Wgamma,14,41.6GeV>dmet>-21.2GeV,8103,1056.81506348,13.777878
Wgamma,15,dphi_jj_central<2.37,6696,937.735839844,13.794851
Wgamma,16,dphi_met_jetterm<0.73,6660,925.184082031,13.808349
Wgamma,17,balance>0.91,5547,805.007080078,13.832387
Wgamma,18,jetterm>92GeV,5538,804.346862793,13.841777
Wgamma,19,3.1>dphi_phterm_jetterm>1.6,5531,802.77911377,13.857435
Wgamma,20,metsigres<36000,5433,801.61730957,13.867175
Wgamma,21,met_noJVT>90GeV,5426,799.062561035,13.875720
Wjets,0,loaded,3041984,3974293,24.047261
Wjets,1,n_ph==1,2230309,3093999.5,24.159274
Wjets,2,truth e->gamma,1962593,2811573.25,24.484086
Wjets,3,n_mu_baseline==0,1962593,2811573.25,24.771483
Wjets,4,n_el_baseline==0,1962593,2811573.25,25.063825
Wjets,5,n_tau_baseline==0,1937580,2779467,25.351140
Wjets,6,trigger==1,287662,273664.25,25.438980
Wjets,7,ph_pt>50GeV,286760,272168.78125,25.516701
Wjets,8,MET>100GeV,119227,50452.7617188,25.553790
Wjets,9,n_jet_central<=3,73933,46210.453125,25.578909
Wjets,10,140>mT>100GeV,14272,3585.15087891,25.625585
Wjets,11,VertexBDTScore>0.1,13282,3077.47241211,25.636791
Wjets,12,20>met_tst_sig>7,7853,1909.97033691,25.649165
Wjets,13,ph_eta<1.74,4416,1042.17895508,25.668944
Wjets,14,dphi_met_phterm>1.23,4354,975.688354492,25.679845
Wjets,15,41.6GeV>dmet>-21.2GeV,4251,953.289611816,25.690935
Wjets,16,dphi_jj_central<2.37,3326,873.622741699,25.704352
Wjets,17,dphi_met_jetterm<0.73,3320,869.815612793,25.717020
Wjets,18,balance>0.91,2397,730.872741699,25.742339
Wjets,19,jetterm>92GeV,2393,726.36505127,25.751570
Wjets,20,3.1>dphi_phterm_jetterm>1.6,2392,720.398803711,25.768725
Wjets,21,metsigres<36000,2349,718.588928223,25.778441
Wjets,22,met_noJVT>90GeV,2340,713.426513672,25.787432
gammajet_direct,0,loaded,13721741,172729872,60.833921
gammajet_direct,1,n_ph==1,12921098,145885296,61.283649
gammajet_direct,2,n_mu_baseline==0,12921098,145885296,61.663845
gammajet_direct,3,n_el_baseline==0,12921098,145885296,62.044036
gammajet_direct,4,n_tau_baseline==0,12807272,143290624,62.421424
gammajet_direct,5,trigger==1,6956099,6367350,62.678961
gammajet_direct,6,ph_pt>50GeV,6955806,6345570.5,63.691164
gammajet_direct,7,MET>100GeV,1489230,947646.125,64.036236
gammajet_direct,8,n_jet_central<=3,1031214,905971.25,64.213951
gammajet_direct,9,140>mT>100GeV,27495,10478.9306641,64.440645
gammajet_direct,10,VertexBDTScore>0.1,27203,4023.63696289,64.453904
gammajet_direct,11,20>met_tst_sig>7,65,111.665374756,64.464725
gammajet_direct,12,ph_eta<1.74,57,42.2500114441,64.503200
gammajet_direct,13,dphi_met_phterm>1.23,57,42.2500114441,64.512776
gammajet_direct,14,41.6GeV>dmet>-21.2GeV,52,9.36742687225,64.523685
gammajet_direct,15,dphi_jj_central<2.37,41,6.71546220779,64.535412
gammajet_direct,16,dphi_met_jetterm<0.73,40,6.54419612885,64.546336
gammajet_direct,17,balance>0.91,40,6.54419612885,64.583884
gammajet_direct,18,jetterm>92GeV,40,6.54419612885,64.591995
gammajet_direct,19,3.1>dphi_phterm_jetterm>1.6,16,6.53978729248,64.605257
gammajet_direct,20,metsigres<36000,15,6.53794288635,64.613525
gammajet_direct,21,met_noJVT>90GeV,15,6.53794288635,64.621249
data23,0,loaded,19779010,213169876.876,51.834738
data23,1,jet_faking_photon,3384689,36493235.1549,54.128502
data23,2,n_ph_baseline==1,3354286,36165772.7527,55.294702
data23,3,n_mu_baseline==0,3354286,36165772.7527,56.477818
data23,4,n_el_baseline==0,3354286,36165772.7527,57.658864
data23,5,n_tau_baseline==0,3294169,35519418.8962,58.814047
data23,6,trigger==1,719136,7733948.5806,59.189027
data23,7,ph_pt>50GeV,713598,7672785.44681,59.604362
data23,8,MET>100GeV,93925,1009484.23596,59.717759
data23,9,n_jet_central<=3,79778,857114.855923,59.809529
data23,10,140>mT>100GeV,2513,27254.3611138,59.981573
data23,11,VertexBDTScore>0.1,1231,13349.217037,60.043577
data23,12,20>met_tst_sig>7,244,2643.62666149,60.108664
data23,13,ph_eta<1.74,176,1860.89647812,60.213559
data23,14,dphi_met_phterm>1.23,137,1455.07131076,60.279491
data23,15,41.6GeV>dmet>-21.2GeV,126,1340.38614534,60.341723
data23,16,dphi_jj_central<2.37,107,1139.15009217,60.409531
data23,17,dphi_met_jetterm<0.73,105,1117.51237023,60.473233
data23,18,balance>0.91,66,698.327350344,60.582913
data23,19,jetterm>92GeV,64,677.475502086,60.642219
data23,20,3.1>dphi_phterm_jetterm>1.6,64,677.475502086,60.709479
data23,21,metsigres<36000,64,677.475502086,60.798691
data23,22,met_noJVT>90GeV,63,666.263704279,60.857743
