sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,3.695451
ggHyyd,1,n_ph==1,195671,19979.1210938,3.714479
ggHyyd,2,pv_z exists,195671,19979.1210938,3.732365
ggHyyd,3,goodPV,86910,8732.75585938,3.769421
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,3.797349
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,3.824688
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,3.851561
ggHyyd,7,trigger==1,25430,2584.30541992,3.871556
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,3.893416
ggHyyd,9,MET>100GeV,5628,568.633117676,3.909437
ggHyyd,10,n_jet_central<=3,4858,491.889312744,3.924133
ggHyyd,11,140>mT>100GeV,2866,290.678192139,3.946956
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,3.961343
ggHyyd,13,met_tst_sig>6,2422,246.402603149,3.975339
ggHyyd,14,ph_eta<1.75,2124,216.296020508,3.990498
ggHyyd,15,dphi_met_phterm>1.25,2004,204.333862305,4.005942
ggHyyd,16,dmet>-10GeV,1945,198.449615479,4.020675
ggHyyd,17,dphi_jj_central<2.5,1860,189.781646729,4.039127
ggHyyd,18,dphi_met_jetterm<0.75,1852,189.093826294,4.056604
Zjets,0,loaded,11544081,1739103.625,71.282457
Zjets,1,n_ph==1,4463818,828876.3125,71.507565
Zjets,2,truth e->gamma,3242488,674497.875,72.053064
Zjets,3,n_mu_baseline==0,3229462,673846.625,72.492718
Zjets,4,n_el_baseline==0,770339,199435.75,72.647583
Zjets,5,n_tau_baseline==0,729391,196128.671875,72.754407
Zjets,6,trigger==1,95006,6059.20361328,72.788124
Zjets,7,ph_pt>50GeV,94607,6016.86669922,72.866708
Zjets,8,MET>100GeV,14813,775.327148438,72.879554
Zjets,9,n_jet_central<=3,7940,681.040649414,72.889740
Zjets,10,140>mT>100GeV,532,34.8040351868,72.966271
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,72.974514
Zjets,12,met_tst_sig>6,110,4.69675064087,72.983559
Zjets,13,ph_eta<1.75,64,3.50093126297,73.022328
Zjets,14,dphi_met_phterm>1.25,62,3.40049600601,73.031912
Zjets,15,dmet>-10GeV,59,2.57056331635,73.040483
Zjets,16,dphi_jj_central<2.5,39,2.18737649918,73.052343
Zjets,17,dphi_met_jetterm<0.75,39,2.18737649918,73.063582
Zgamma,0,loaded,4341141,310120.1875,24.393462
Zgamma,1,n_ph==1,3423357,249515.859375,24.546766
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,24.670208
Zgamma,3,n_el_baseline==0,3423357,249515.859375,24.786499
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,24.906389
Zgamma,5,trigger==1,2358497,109967.375,25.005798
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,25.391856
Zgamma,7,MET>100GeV,1789816,54244.46875,25.681317
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,25.930060
Zgamma,9,140>mT>100GeV,21357,1156.57519531,26.206402
Zgamma,10,VertexBDTScore>0.1,19491,1002.6987915,26.218542
Zgamma,11,met_tst_sig>6,17951,909.430664062,26.230621
Zgamma,12,ph_eta<1.75,13899,712.930664062,26.256373
Zgamma,13,dphi_met_phterm>1.25,12760,603.706787109,26.271281
Zgamma,14,dmet>-10GeV,12264,584.802734375,26.284873
Zgamma,15,dphi_jj_central<2.5,10642,520.273071289,26.306873
Zgamma,16,dphi_met_jetterm<0.75,10605,515.904907227,26.325366
Wgamma,0,loaded,1772654,567686.5625,13.504781
Wgamma,1,n_ph==1,1308982,427789.75,13.576839
Wgamma,2,n_mu_baseline==0,1308982,427789.75,13.629942
Wgamma,3,n_el_baseline==0,1308982,427789.75,13.683100
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,13.736940
Wgamma,5,trigger==1,521828,97547.65625,13.766896
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,13.864162
Wgamma,7,MET>100GeV,342184,40247.3164062,13.923376
Wgamma,8,n_jet_central<=3,282073,35614.7070312,13.970194
