sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,4373.65478516,2.585680
ggHyyd,1,n_ph==1,195671,3812.94970703,2.604314
ggHyyd,2,pv_z exists,195671,3812.94970703,2.624812
ggHyyd,3,goodPV,86910,1666.80688477,2.661944
ggHyyd,4,n_mu_baseline==0,86910,1666.80688477,2.697921
ggHyyd,5,n_el_baseline==0,86910,1666.80688477,2.726889
ggHyyd,6,n_tau_baseline==0,85912,1647.26928711,2.754742
ggHyyd,7,trigger==1,25430,493.268890381,2.775000
ggHyyd,8,ph_pt>50GeV,25370,492.096557617,2.798409
ggHyyd,9,MET>100GeV,5628,108.535522461,2.815015
ggHyyd,10,n_jet_central<=3,4858,93.8873062134,2.830689
ggHyyd,11,140>mT>100GeV,2866,55.4817848206,2.856750
ggHyyd,12,VertexBDTScore>0.1,2646,51.1999893188,2.871267
ggHyyd,13,met_tst_sig>6,2422,47.0308761597,2.885405
ggHyyd,14,ph_eta<1.75,2124,41.284412384,2.900927
ggHyyd,15,dphi_met_phterm>1.25,2004,39.0011787415,2.917468
ggHyyd,16,dmet>-10GeV,1945,37.8780822754,2.932354
ggHyyd,17,dphi_jj_central<2.5,1860,36.2236366272,2.950557
ggHyyd,18,dphi_met_jetterm<0.75,1852,36.0923538208,2.967875
Zjets,0,loaded,11544081,330316.28125,75.023841
Zjets,1,n_ph==1,4463818,157994.96875,75.253824
Zjets,2,truth e->gamma,3242488,128818.726562,75.806760
Zjets,3,n_mu_baseline==0,3229462,128690.8125,76.262898
Zjets,4,n_el_baseline==0,770339,38063.3320312,76.433132
Zjets,5,n_tau_baseline==0,729391,37432.8398438,76.543847
Zjets,6,trigger==1,95006,1156.52966309,76.580759
Zjets,7,ph_pt>50GeV,94607,1148.44628906,76.657115
Zjets,8,MET>100GeV,14813,147.987487793,76.670273
Zjets,9,n_jet_central<=3,7940,129.990646362,76.682029
Zjets,10,140>mT>100GeV,532,6.64305877686,76.754676
Zjets,11,VertexBDTScore>0.1,383,3.21198868752,76.763361
Zjets,12,met_tst_sig>6,110,0.896470427513,76.771339
Zjets,13,ph_eta<1.75,64,0.668224036694,76.808997
Zjets,14,dphi_met_phterm>1.25,62,0.649053990841,76.818916
Zjets,15,dmet>-10GeV,59,0.490644425154,76.828057
Zjets,16,dphi_jj_central<2.5,39,0.417505383492,76.839849
Zjets,17,dphi_met_jetterm<0.75,39,0.417505383492,76.852664
Zgamma,0,loaded,4341141,59228,26.105561
Zgamma,1,n_ph==1,3423357,47608.2617188,26.332627
Zgamma,2,n_mu_baseline==0,3423357,47608.2617188,26.475955
Zgamma,3,n_el_baseline==0,3423357,47608.2617188,26.624847
Zgamma,4,n_tau_baseline==0,3233457,45769.0195312,26.772533
Zgamma,5,trigger==1,2358497,20987.1738281,26.896208
Zgamma,6,ph_pt>50GeV,2356368,20954.0449219,27.356189
Zgamma,7,MET>100GeV,1789816,10352.7060547,27.666183
Zgamma,8,n_jet_central<=3,1639302,9750.38964844,27.946316
Zgamma,9,140>mT>100GeV,21357,220.756561279,28.228023
Zgamma,10,VertexBDTScore>0.1,19491,191.385604858,28.243259
Zgamma,11,met_tst_sig>6,17951,173.583404541,28.258377
Zgamma,12,ph_eta<1.75,13899,136.07699585,28.281165
Zgamma,13,dphi_met_phterm>1.25,12760,115.229415894,28.294379
Zgamma,14,dmet>-10GeV,12264,111.621284485,28.308288
Zgamma,15,dphi_jj_central<2.5,10642,99.3043518066,28.326964
Zgamma,16,dphi_met_jetterm<0.75,10605,98.4706878662,28.343960
Wgamma,0,loaded,1772654,108356.710938,13.436976
Wgamma,1,n_ph==1,1308982,81652.6171875,13.538421
Wgamma,2,n_mu_baseline==0,1308982,81652.6171875,13.607125
Wgamma,3,n_el_baseline==0,1308982,81652.6171875,13.671443
Wgamma,4,n_tau_baseline==0,1109250,75471.2890625,13.737889
Wgamma,5,trigger==1,521828,18619.2363281,13.781997
Wgamma,6,ph_pt>50GeV,520958,18555.9335938,13.900781
Wgamma,7,MET>100GeV,342184,7682.00732422,13.975332
Wgamma,8,n_jet_central<=3,282073,6797.76855469,14.033557
Wgamma,9,140>mT>100GeV,15265,444.192749023,14.113447
Wgamma,10,VertexBDTScore>0.1,14042,380.350036621,14.128504
Wgamma,11,met_tst_sig>6,12493,335.641998291,14.142087
Wgamma,12,ph_eta<1.75,9627,253.516387939,14.171634
Wgamma,13,dphi_met_phterm>1.25,9199,232.163650513,14.195481
Wgamma,14,dmet>-10GeV,8663,218.024520874,14.207205
Wgamma,15,dphi_jj_central<2.5,7289,195.907836914,14.222668
Wgamma,16,dphi_met_jetterm<0.75,7270,194.734954834,14.236775
Wjets,0,loaded,3041984,757998.5625,23.540975
Wjets,1,n_ph==1,2230309,590412.6875,23.670136
Wjets,2,truth e->gamma,1962593,536681.375,24.039712
Wjets,3,n_mu_baseline==0,1962593,536681.375,24.355740
Wjets,4,n_el_baseline==0,1962593,536681.375,24.669167
Wjets,5,n_tau_baseline==0,1937580,530623.8125,24.975370
Wjets,6,trigger==1,287662,52234.1289062,25.065614
Wjets,7,ph_pt>50GeV,286760,51948.6367188,25.147029
Wjets,8,MET>100GeV,119227,9629.90234375,25.184065
Wjets,9,n_jet_central<=3,73933,8820.1875,25.209987
Wjets,10,140>mT>100GeV,14272,684.299865723,25.257588
Wjets,11,VertexBDTScore>0.1,13282,587.399902344,25.268902
Wjets,12,met_tst_sig>6,9522,440.639160156,25.279747
Wjets,13,ph_eta<1.75,5378,235.296768188,25.300528
Wjets,14,dphi_met_phterm>1.25,5289,221.976760864,25.311805
Wjets,15,dmet>-10GeV,4980,209.245697021,25.321473
Wjets,16,dphi_jj_central<2.5,3961,192.048751831,25.334734
Wjets,17,dphi_met_jetterm<0.75,3957,191.546508789,25.346651
gammajet_direct,0,loaded,13721741,32808734,64.837465
gammajet_direct,1,n_ph==1,12921098,27822642,65.369859
gammajet_direct,2,n_mu_baseline==0,12921098,27822642,65.750411
gammajet_direct,3,n_el_baseline==0,12921098,27822642,66.136555
gammajet_direct,4,n_tau_baseline==0,12807272,27344208,66.515223
gammajet_direct,5,trigger==1,6956099,1216014.125,66.775507
gammajet_direct,6,ph_pt>50GeV,6955806,1211857.125,67.829137
gammajet_direct,7,MET>100GeV,1489230,180777.953125,68.222044
gammajet_direct,8,n_jet_central<=3,1031214,172828.734375,68.449186
gammajet_direct,9,140>mT>100GeV,27495,2000.08203125,68.705625
gammajet_direct,10,VertexBDTScore>0.1,27203,767.974121094,68.720758
gammajet_direct,11,met_tst_sig>6,171,34.3551864624,68.729903
gammajet_direct,12,ph_eta<1.75,159,21.0404605865,68.771331
gammajet_direct,13,dphi_met_phterm>1.25,159,21.0404605865,68.781096
gammajet_direct,14,dmet>-10GeV,148,14.2402896881,68.789360
gammajet_direct,15,dphi_jj_central<2.5,123,11.8672418594,68.802381
gammajet_direct,16,dphi_met_jetterm<0.75,122,11.8345518112,68.813195
data23,0,loaded,19779010,40687813.3681,59.331075
data23,1,jet_faking_photon,3384689,6965477.30985,61.945350
data23,2,n_ph_baseline==1,3354286,6902974.43985,63.367237
data23,3,n_mu_baseline==0,3354286,6902974.43985,64.810900
data23,4,n_el_baseline==0,3354286,6902974.43985,66.222193
data23,5,n_tau_baseline==0,3294169,6779604.63986,67.571642
data23,6,trigger==1,719136,1476181.62999,67.965349
data23,7,ph_pt>50GeV,713598,1464507.39999,68.394069
data23,8,MET>100GeV,93925,192680.63,68.505825
data23,9,n_jet_central<=3,79778,163597.83,68.596542
data23,10,140>mT>100GeV,2513,5202.05,68.773664
data23,11,VertexBDTScore>0.1,1231,2547.97,68.835575
data23,12,met_tst_sig>6,362,751.98,68.899052
data23,13,ph_eta<1.75,255,517.05,69.010743
data23,14,dphi_met_phterm>1.25,195,395.85,69.075124
data23,15,dmet>-10GeV,171,348.09,69.136424
data23,16,dphi_jj_central<2.5,146,296.39,69.207576
data23,17,dphi_met_jetterm<0.75,144,292.41,69.274122
