sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,0.973252
ggHyyd,1,n_ph==1,195671,19979.1210938,0.991965
ggHyyd,2,pv_z exists,195671,19979.1210938,1.009595
ggHyyd,3,goodPV,86910,8732.75585938,1.048230
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,1.076572
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,1.104932
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,1.132883
ggHyyd,7,trigger==1,25430,2584.30541992,1.152792
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,1.174760
ggHyyd,9,MET>100GeV,5628,568.633117676,1.190402
ggHyyd,10,n_jet_central<=3,4858,491.889312744,1.205292
ggHyyd,11,mT>80GeV,4730,479.373291016,1.227486
ggHyyd,12,VertexBDTScore>0.1,3886,394.524505615,1.242698
ggHyyd,13,met_tst_sig>6,3422,349.743896484,1.257440
ggHyyd,14,ph_eta<1.75,2997,306.565490723,1.273866
ggHyyd,15,dphi_met_phterm>1.25,2700,276.255279541,1.289876
ggHyyd,16,dmet>-10GeV,2617,268.177032471,1.305509
ggHyyd,17,dphi_jj_central<2.5,2498,255.685455322,1.324922
ggHyyd,18,dphi_met_jetterm<0.75,2458,252.02772522,1.342638
Zjets,0,loaded,11544081,1739103.625,66.806538
Zjets,1,n_ph==1,4463818,828876.3125,67.049947
Zjets,2,truth e->gamma,3242488,674497.875,67.612637
Zjets,3,n_mu_baseline==0,3229462,673846.625,68.077650
Zjets,4,n_el_baseline==0,770339,199435.75,68.240856
Zjets,5,n_tau_baseline==0,729391,196128.671875,68.354903
Zjets,6,trigger==1,95006,6059.20361328,68.390062
Zjets,7,ph_pt>50GeV,94607,6016.86669922,68.469151
Zjets,8,MET>100GeV,14813,775.327148438,68.481858
Zjets,9,n_jet_central<=3,7940,681.040649414,68.492009
Zjets,10,mT>80GeV,7481,669.827209473,68.570164
Zjets,11,VertexBDTScore>0.1,3638,103.814674377,68.579276
Zjets,12,met_tst_sig>6,868,37.8329544067,68.587534
Zjets,13,ph_eta<1.75,402,16.9622116089,68.626736
Zjets,14,dphi_met_phterm>1.25,172,7.00067806244,68.636674
Zjets,15,dmet>-10GeV,162,5.71198987961,68.645750
Zjets,16,dphi_jj_central<2.5,101,5.09499645233,68.659890
Zjets,17,dphi_met_jetterm<0.75,94,4.90545368195,68.671161
Zgamma,0,loaded,4341141,310120.1875,24.027265
Zgamma,1,n_ph==1,3423357,249515.859375,24.183628
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,24.311283
Zgamma,3,n_el_baseline==0,3423357,249515.859375,24.433887
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,24.555629
Zgamma,5,trigger==1,2358497,109967.375,24.659655
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,25.075659
Zgamma,7,MET>100GeV,1789816,54244.46875,25.376081
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,25.632810
Zgamma,9,mT>80GeV,1637543,51015.9023438,26.085244
Zgamma,10,VertexBDTScore>0.1,636216,15452.5957031,26.218216
Zgamma,11,met_tst_sig>6,612615,14725.7988281,26.318792
Zgamma,12,ph_eta<1.75,493248,11492.9677734,26.428751
Zgamma,13,dphi_met_phterm>1.25,63704,1807.91931152,26.481767
Zgamma,14,dmet>-10GeV,61060,1745.18786621,26.504755
Zgamma,15,dphi_jj_central<2.5,53244,1553.63513184,26.535183
Zgamma,16,dphi_met_jetterm<0.75,44053,1317.1282959,26.567705
Wgamma,0,loaded,1772654,567686.5625,12.038910
Wgamma,1,n_ph==1,1308982,427789.75,12.111334
Wgamma,2,n_mu_baseline==0,1308982,427789.75,12.168366
Wgamma,3,n_el_baseline==0,1308982,427789.75,12.223469
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,12.277563
Wgamma,5,trigger==1,521828,97547.65625,12.309500
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,12.407735
Wgamma,7,MET>100GeV,342184,40247.3164062,12.470218
Wgamma,8,n_jet_central<=3,282073,35614.7070312,12.520401
Wgamma,9,mT>80GeV,278201,35146.9921875,12.612435
Wgamma,10,VertexBDTScore>0.1,150346,14461.9160156,12.647238
Wgamma,11,met_tst_sig>6,137741,13141.2324219,12.675905
Wgamma,12,ph_eta<1.75,110808,10237.9863281,12.711405
Wgamma,13,dphi_met_phterm>1.25,34778,3281.86035156,12.734171
Wgamma,14,dmet>-10GeV,32671,3090.62646484,12.749967
Wgamma,15,dphi_jj_central<2.5,27335,2736.2824707,12.771397
Wgamma,16,dphi_met_jetterm<0.75,22922,2381.75610352,12.790105
Wjets,0,loaded,3041984,3974293,19.728294
Wjets,1,n_ph==1,2230309,3093999.5,19.845847
Wjets,2,truth e->gamma,1962593,2811573.25,20.180773
Wjets,3,n_mu_baseline==0,1962593,2811573.25,20.476878
Wjets,4,n_el_baseline==0,1962593,2811573.25,20.775339
Wjets,5,n_tau_baseline==0,1937580,2779467,21.069094
Wjets,6,trigger==1,287662,273664.25,21.158979
Wjets,7,ph_pt>50GeV,286760,272168.78125,21.241843
Wjets,8,MET>100GeV,119227,50452.7617188,21.276781
Wjets,9,n_jet_central<=3,73933,46210.453125,21.301763
Wjets,10,mT>80GeV,56398,43051.8515625,21.354297
Wjets,11,VertexBDTScore>0.1,48111,18166.046875,21.372230
Wjets,12,met_tst_sig>6,37342,15881.0019531,21.388569
Wjets,13,ph_eta<1.75,21002,7865.6796875,21.411735
Wjets,14,dphi_met_phterm>1.25,17929,3729.63500977,21.426338
Wjets,15,dmet>-10GeV,17090,3547.7487793,21.439375
Wjets,16,dphi_jj_central<2.5,14057,3262.78637695,21.457041
Wjets,17,dphi_met_jetterm<0.75,13789,3211.01831055,21.474198
gammajet_direct,0,loaded,13721741,172729872,50.419279
gammajet_direct,1,n_ph==1,12921098,145885296,50.868852
gammajet_direct,2,n_mu_baseline==0,12921098,145885296,51.253652
gammajet_direct,3,n_el_baseline==0,12921098,145885296,51.636879
gammajet_direct,4,n_tau_baseline==0,12807272,143290624,52.023155
gammajet_direct,5,trigger==1,6956099,6367350,52.284196
gammajet_direct,6,ph_pt>50GeV,6955806,6345570.5,53.347273
gammajet_direct,7,MET>100GeV,1489230,947646.125,53.712224
gammajet_direct,8,n_jet_central<=3,1031214,905971.25,53.898717
gammajet_direct,9,mT>80GeV,945796,902750.5625,54.236999
gammajet_direct,10,VertexBDTScore>0.1,877581,52135.1289062,54.382808
gammajet_direct,11,met_tst_sig>6,93804,17739.0976562,54.429195
gammajet_direct,12,ph_eta<1.75,88534,14125.2519531,54.489543
gammajet_direct,13,dphi_met_phterm>1.25,2480,548.204467773,54.506448
gammajet_direct,14,dmet>-10GeV,2036,451.11907959,54.515746
gammajet_direct,15,dphi_jj_central<2.5,1819,429.472747803,54.528360
gammajet_direct,16,dphi_met_jetterm<0.75,712,251.944198608,54.540143
data23,0,loaded,19779010,213169876.876,55.120592
data23,1,jet_faking_photon,3384689,36493235.1549,57.926993
data23,2,n_ph_baseline==1,3354286,36165772.7527,59.317167
data23,3,n_mu_baseline==0,3354286,36165772.7527,60.721713
data23,4,n_el_baseline==0,3354286,36165772.7527,62.152823
data23,5,n_tau_baseline==0,3294169,35519418.8962,63.585374
data23,6,trigger==1,719136,7733948.5806,64.033977
data23,7,ph_pt>50GeV,713598,7672785.44681,64.527919
data23,8,MET>100GeV,93925,1009484.23596,64.650917
data23,9,n_jet_central<=3,79778,857114.855923,64.753016
data23,10,mT>80GeV,79409,853096.1075,64.973547
data23,11,VertexBDTScore>0.1,17148,184316.088095,65.053058
data23,12,met_tst_sig>6,4232,45357.5375958,65.126064
data23,13,ph_eta<1.75,3319,34920.0873193,65.252914
data23,14,dphi_met_phterm>1.25,463,4899.50325022,65.334447
data23,15,dmet>-10GeV,405,4290.87028233,65.406246
data23,16,dphi_jj_central<2.5,351,3712.15290579,65.481729
data23,17,dphi_met_jetterm<0.75,307,3243.98175997,65.556685
