cut,ggHyyd,Zjets,Zgamma,Wgamma,Wjets,gammajet_direct,data23,S/sqrt(B),S/sqrt(S+B),S/sqrt(S+1.3B),ZBi (σ_b=30%)
LOAD,2.29e+04,1.74e+06,3.1e+05,5.68e+05,3.97e+06,1.73e+08,2.13e+08,1.157,1.157,1.015,-0.199
CUT 1 (preprocessing),8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_mu_baseline==0,8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_el_baseline==0,8732.756,1.99e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.641,0.641,0.562,-0.199
n_tau_baseline==0,8630.402,1.96e+05,2.4e+05,3.95e+05,2.78e+06,1.43e+08,3.55e+07,0.639,0.639,0.560,-0.199
trigger==1,2584.305,6059.204,1.1e+05,9.75e+04,2.74e+05,6.37e+06,7.73e+06,0.677,0.677,0.593,-0.198
ph_pt>50GeV,2578.163,6016.867,1.1e+05,9.72e+04,2.72e+05,6.35e+06,7.67e+06,0.677,0.677,0.594,-0.198
MET>100GeV,568.633,775.327,5.42e+04,4.02e+04,5.05e+04,9.48e+05,1.01e+06,0.392,0.392,0.344,-0.198
n_jet_central<=3,491.889,681.041,5.11e+04,3.56e+04,4.62e+04,9.06e+05,8.57e+05,0.357,0.357,0.313,-0.198
mT>80GeV,479.373,669.827,5.1e+04,3.51e+04,4.31e+04,9.03e+05,8.53e+05,0.349,0.349,0.306,-0.198
VertexBDTScore>0.1,394.525,103.815,1.55e+04,1.45e+04,1.82e+04,5.21e+04,1.84e+05,0.739,0.739,0.648,-0.194
met_tst_sig>6,349.744,37.833,1.47e+04,1.31e+04,1.59e+04,1.77e+04,4.54e+04,1.070,1.068,0.937,-0.188
ph_eta<1.75,306.565,16.962,1.15e+04,1.02e+04,7865.680,1.41e+04,3.49e+04,1.093,1.091,0.957,-0.186
dphi_met_phterm>1.25,276.255,7.001,1807.919,3281.860,3729.635,548.204,4899.503,2.312,2.290,2.013,-0.134
dmet>-10GeV,268.177,5.712,1745.188,3090.626,3547.749,451.119,4290.870,2.340,2.317,2.037,-0.131
dphi_jj_central<2.5,255.685,5.095,1553.635,2736.282,3262.786,429.473,3712.153,2.364,2.338,2.056,-0.126
dphi_met_jetterm<0.75,252.028,4.905,1317.128,2381.756,3211.018,251.944,3243.982,2.470,2.441,2.146,-0.118
